Icelandic	Swiss German	probability
ʰt_ʏ	t	1.0
ˈa	ˈɒ	0.419
ˈa	ˈa	0.168
ˈa	ˈæ	0.114
ˈa	ˈæː	0.075
ˈa	ˈou̯	0.075
ˈai̯	ˈyə̯	0.45
ˈai̯	ˈy	0.335
ˈaː	ˈɒː	0.524
ˈaː	ˈɒ	0.457
ˈaːi̯	ˈyə̯	0.26
ˈaːi̯	ˈɒ	0.171
ˈaːi̯	ˈa	0.12
ˈaːi̯	ˈæ	0.12
ˈaːu̯	ˈɒː	0.241
ˈeːi̯	ˈøi̯	0.574
ˈeːi̯	ˈæi̯	0.282
ˈi	ˈi	0.608
ˈi	ˈyː	0.171
ˈi	ˈy	0.111
ˈiː	ˈiː	0.462
ˈiː	ˈyː	0.227
ˈiː	ˈæː	0.073
ˈiː	ˈuː	0.073
ˈiː	ˈuə̯	0.061
ˈou̯	ˈø	0.45
ˈou̯	ˈo	0.221
ˈou̯	ˈøː	0.125
ˈoːu̯	ˈuə̯	0.618
ˈoːu̯	ˈu	0.129
ˈoːu̯	-	0.096
ˈoːu̯	ˈyə̯	0.091
ˈoːu̯	r	0.05
ˈu	ʋ	0.354
ˈu	ˈu	0.308
ˈu	j	0.203
ˈu	ˈyː	0.085
ˈuː	ˈuː	0.693
ˈuː	ˈy	0.101
ˈuː	ˈu	0.098
ˈuː	-	0.073
ˈœ	ˈɒ	0.656
ˈœ	rː	0.219
ˈœ	-	0.092
ˈœy̯	ˈøː	0.491
ˈœː	ə	0.178
ˈœː	-	0.164
ˈœː	ˈo	0.164
ˈœː	ˈøi̯	0.115
ˈœː	ˈou̯	0.106
ˈœːy̯	ˈoː	0.433
ˈœːy̯	ˈau̯	0.4
ˈœːy̯	ˈou̯	0.157
ˈɑu̯	ˈɒ_χ	0.315
ˈɑu̯	ˈa	0.192
ˈɑu̯	ˈæ	0.192
ˈɑu̯	ˈɒ	0.118
ˈɑːu̯	ˈɒː	0.433
ˈɑːu̯	ˈo	0.18
ˈɑːu̯	ˈoː	0.18
ˈɑːu̯	ˈeː	0.145
ˈɔ	ˈo	0.377
ˈɔ	ˈoː	0.258
ˈɔ	ˈɒː	0.148
ˈɔ	ˈøi̯	0.096
ˈɔ	ˈu	0.08
ˈɔu̯	ˈɒ	0.28
ˈɔu̯	ˈuə̯	0.28
ˈɔu̯	-	0.171
ˈɔu̯	ˈo	0.171
ˈɔː	ˈɒː	0.574
ˈɔː	ˈoː	0.282
ˈɛ	ˈe	0.307
ˈɛ	ˈæ	0.112
ˈɛ	-	0.097
ˈɛ	ˈɛi̯	0.086
ˈɛ	ˈø	0.086
ˈɛi̯	ˈei̯	1.0
ˈɛː	ˈi	0.246
ˈɛː	ˈæ	0.214
ˈɛː	ˈæː	0.118
ˈɛː	ˈiə̯	0.114
ˈɛː	ˈe	0.114
ˈɛːi̯	ˈæi̯	0.276
ˈɛːi̯	-	0.182
ˈɛːi̯	ˈoː	0.182
ˈɛːi̯	ˈøː	0.123
ˈɛːi̯	ˈou̯	0.118
ˈɪ	ˈi	0.702
ˈɪ	ˈø	0.126
ˈɪ	ˈo	0.091
ˈɪ	ˈu	0.066
ˈɪː	ˈi	0.53
ˈɪː	ˈy	0.182
ˈɪː	ˈæ	0.171
ˈʏ	ˈo	0.269
ˈʏ	ˈø	0.239
ˈʏ	ˈy	0.155
ˈʏ	ˈu	0.115
ˈʏ_nː	ˈuː	0.491
ˈʏ_t	ˈo	1.0
ˈʏː	ˈo	0.488
ˈʏː	ˈyː	0.37
ˈʏː	ˈæ	0.072
θ	d̥	0.751
θ	t	0.236
