Faroese	Bavarian	probability
ʧː	n	1.0
ʰkː	k	0.5
ʰkː	ŋ	0.5
ʰp	p͡f	0.369
ʰp	f	0.179
ʰt	s	1.0
ʰtː	x_t	1.0
ʰʧ	k	0.236
ˈa	ˈo	0.35
ˈa	ˈa	0.218
ˈa	ˈoɐ̯	0.162
ˈa	-	0.074
ˈa	ˈai̯	0.074
ˈai̯	ˈoɐ̯	0.841
ˈai̯	ˈai̯	0.103
ˈaːi̯	ˈoɐ̯	1.0
ˈeə̯	ˈɛ	0.486
ˈeː	ˈi	0.407
ˈeː	ˈeː	0.173
ˈeː	ˈe	0.12
ˈeː	ˈɛ	0.12
ˈeː	ˈo	0.116
ˈiː	ˈi	0.626
ˈiː	ˈeː	0.094
ˈiː	ˈy	0.087
ˈiː	ˈo	0.087
ˈoː	ˈoɐ̯	0.296
ˈoː	ˈɔ	0.144
ˈoː	ˈau̯	0.144
ˈuː	ˈɔ	0.28
ˈuː	ˈe	0.28
ˈuː	ˈu	0.17
ˈuː	ˈɛ	0.17
ˈøː	ˈiɐ̯	0.282
ˈøː	ˈeɐ̯	0.186
ˈøː	ˈeː	0.186
ˈøː	ˈe	0.165
ˈøː	ˈɛ	0.087
ˈœ	ˈu	0.447
ˈœ	ˈaː	0.165
ˈœ	ˈɔ	0.108
ˈœ	ˈo	0.1
ˈœ_t	ɐ	1.0
ˈɔ	ˈu	0.292
ˈɔ	ˈɔ	0.188
ˈɔ	ˈa	0.173
ˈɔ	-	0.114
ˈɔ	ˈoː	0.114
ˈɔ_t	ˈoɐ̯	1.0
ˈɔːi̯	ˈaː	0.361
ˈɔːi̯	ˈe	0.361
ˈɔːi̯	ˈoɐ̯	0.202
ˈɔːu̯	ˈuɐ̯	0.619
ˈɔːu̯	ˈeɐ̯	0.144
ˈɔːu̯	ˈiː	0.104
ˈɔːu̯	ˈe	0.072
ˈɔːu̯	ˈiɐ̯	0.038
ˈɔ̯aː	ˈɔ	0.463
ˈɔ̯aː	ˈou̯	0.232
ˈɔ̯aː	ˈoɐ̯	0.14
ˈɔ̯aː	-	0.09
ˈɛ	ˈe	0.203
ˈɛ	ˈi	0.177
ˈɛ	ˈeː	0.177
ˈɛ	ˈɛ	0.154
ˈɛ	ˈoɐ̯	0.088
ˈɛːa̯	ˈoː	0.271
ˈɛːa̯	ˈɒː	0.165
ˈɛːa̯	ˈɒ	0.127
ˈɛːa̯	ˈiɐ̯	0.109
ˈɛːa̯	ˈeː	0.085
ˈɛːi̯	ˈou̯	0.266
ˈɛːi̯	ˈaː	0.232
ˈɛːi̯	ˈoɐ̯	0.232
ˈɛːi̯	ˈa	0.153
ˈɛːi̯	ˈau̯	0.079
ˈɪ	ˈi	0.53
ˈɪ	ˈʏ	0.079
ˈɪ	ˈu	0.079
ˈɪ	ˈiː	0.079
ˈɪ	ˈuɐ̯	0.063
ˈʉːu̯	ˈau̯	0.871
ˈʉːu̯	ˈiɐ̯	0.091
ˈʊ	ˈu	0.258
ˈʊ	ˈai̯	0.224
ˈʊ	ˈau̯	0.129
ˈʊ	ˈoː	0.129
ˈʊ	ˈeː	0.129
ˈʊ̯iː	ˈai̯	0.785
ˈʊ̯iː	ˈi	0.119
ˈʊ̯iː	ˈoɐ̯	0.088
ˈʊ̯iː_ɹ	ˈai̯	1.0
ˈʏ	ˈiɐ̯	0.369
ˈʏ	ˈo	0.087
