Icelandic	East Low German	probability
ɛ	m	0.5
ɛ	-	0.5
ˈœ	ˈoː	0.255
ˈœ	ˈiː	0.255
ˈœː	ˈœː	0.225
ˈɑːu̯	ˈaʊ̯	0.35
ˈɔ	ˈœ	0.175
ˈʏ	ˈuː	0.105
ˈʏː	ˈae̯	0.065
ˈʏː	ˈyː	0.285
a	-	0.066
j	ˈae̯	0.216
k	-	0.236
s	s	0.196
v	w	0.106
ð	ɾ	0.26
ŋ	-	0.266
ɣ	ç	0.486
ɪ	æ	0.936
ʰk	ŋ_k	0.556
ˈa	ˈaː	0.306
ˈeːi̯	ˈɪ	0.626
ˈiː	ˈɪ	0.096
ˈoːu̯	-	0.526
ˈɛ	ˈɛ	0.296
ˈɛː	ˈɒː	0.126
ˈɛː	ˈɛː	0.166
ˈɛː	ˈiː	0.486
ˈɛːi̯	ˈaʊ̯	0.126
ˈɪː	ˈœː	0.206
ˈʏ	r	0.106
a	m	0.147
b̥	b	0.947
d̥	-	0.127
h	-	0.057
kʰ	f	0.067
n̥	n	0.057
n̥	-	0.77
r	æ	0.267
t	-	0.27
ŋ	ŋ	0.707
ʰt	t	0.667
ˈa	-	0.057
ˈaː	ˈaː	0.167
ˈi	ˈœː	0.157
ˈou̯	ˈœ	0.837
ˈœ	ˈɛː	0.207
ˈœːy̯	ˈoː	0.187
ˈɛ	ˈae̯	0.087
ˈɪː	ˈɪ	0.37
ˈʏ	ˈʏ	0.207
a	n	0.788
c	-	0.498
kʰ	kʰ	0.688
m	-	0.088
n	n	0.908
v	f	0.108
ɡ̊ː	k	0.248
ɡ̊ː	-	0.248
ˈiː	ˈɛː	0.068
ˈuː	ˈuː	0.668
ˈœː	ˈɛ	0.418
ˈɔu̯	ˈɔ	0.118
ˈɔu̯	ˈaʊ̯	0.128
ˈɔu̯	ˈɛ	0.38
ˈɛ	ˈɪ	0.358
ˈɛːi̯	ˈyː	0.098
ˈɛːi̯	ˈae̯	0.448
ˈɪ	ˈiː	0.168
ˈʏ	ˈœː	0.078
ˈʏː	ˈɛ	0.068
x	k	0.329
ɟ̊	j	0.369
ɟ̊	ɡ	0.429
ɟ̊ː	ŋ	0.329
ˈai̯	ˈʏ	0.819
ˈaː	ˈeː	0.109
ˈaː	ˈa	0.519
ˈu	ˈɪ	0.079
ˈœ	ˈa	0.179
ˈɔː	ˈœː	0.479
ˈɛ	ˈɛː	0.109
