Icelandic	East Low German	probability
ˈaː	ˈɒː	0.112
ˈaː	ˈɛ	0.048
ˈaːi̯	ˈɔʏ̯	0.263
ˈaːi̯	ˈa	0.173
ˈaːi̯	ˈaʊ̯	0.173
ˈaːi̯	ˈɛ	0.112
ˈaːu̯	ˈaʊ̯	0.66
ˈaːu̯	ˈɒː	0.158
ˈeːi̯	ˈɔʏ̯	0.574
ˈeːi̯	ˈɪ	0.281
ˈi	ˈɪ	0.653
ˈi	ˈyː	0.139
ˈi	ˈœː	0.102
ˈiː	ˈiː	0.649
ˈiː	ˈyː	0.08
ˈiː	ˈaʊ̯	0.065
ˈiː	ˈɪ	0.065
ˈiː	ˈae̯	0.065
ˈou̯	ˈøː	0.323
ˈou̯	ˈœ	0.323
ˈoːu̯	ˈaʊ̯	0.551
ˈoːu̯	-	0.252
ˈoːu̯	ˈeː	0.078
ˈoːu̯	ˈʊ	0.073
ˈoːu̯	ˈaɪ̯	0.045
ˈu	ˈʊ	0.654
ˈu	ˈɪ	0.211
ˈu	ˈyː	0.092
ˈuː	ˈuː	1.0
ˈœ	ˈɒː	0.253
ˈœ	ˈoː	0.253
ˈœ	ˈɛː	0.155
ˈœ	-	0.106
ˈœ	ˈa	0.1
ˈœː	ˈɛ	0.208
ˈœː	ˈae̯	0.208
ˈœː	ˈœ	0.192
ˈœː	ˈœː	0.117
ˈœːy̯	ˈaʊ̯	0.894
ˈœːy̯	ˈoː	0.082
ˈɑu̯	ˈa	1.0
ˈɑːu̯	ˈɒː	0.485
ˈɑːu̯	ˈeː	0.162
ˈɑːu̯	ˈoː	0.162
ˈɑːu̯	n	0.079
ˈɑːu̯	ˈaʊ̯	0.079
ˈɔ	ˈuː	0.619
ˈɔ	ˈɒː	0.11
ˈɔ	ˈʊ	0.11
ˈɔ	ˈoː	0.11
ˈɔu̯	ˈɔ	0.221
ˈɔu̯	ˈɛ	0.203
ˈɔu̯	ˈa	0.135
ˈɔu̯	ˈaʊ̯	0.124
ˈɔː	ˈœː	0.209
ˈɔː	ˈɒː	0.102
ˈɛ	ˈɛ	0.32
ˈɛ	ˈɪ	0.285
ˈɛ	ˈa	0.119
ˈɛ	ˈœ	0.09
ˈɛ	ˈɛː	0.072
ˈɛi̯	ˈae̯	0.49
ˈɛː	ˈɛː	0.369
ˈɛː	ˈiː	0.224
ˈɛː	ˈɪ	0.129
ˈɛː	ˈɛ	0.129
ˈɛː	ˈɒː	0.096
ˈɛːi̯	ˈae̯	0.372
ˈɛːi̯	ˈaʊ̯	0.182
ˈɛːi̯	ˈuː	0.182
ˈɛːi̯	ˈyː	0.127
ˈɛːi̯	ˈɛ	0.079
ˈɪ	ˈɪ	0.501
ˈɪ	ˈʏ	0.166
ˈɪ	ˈiː	0.126
ˈɪ	ˈuː	0.11
ˈɪ	ˈɔ	0.081
ˈɪː	ˈɪ	0.517
ˈɪː	ˈae̯	0.297
ˈɪː	ˈiː	0.111
ˈʏ	ˈʊ	0.396
ˈʏ	ˈuː	0.189
ˈʏ	ˈɒː	0.095
ˈʏ	ˈœː	0.095
ˈʏ	ˈɔ	0.095
ˈʏː	ˈɔ	0.422
ˈʏː	ˈyː	0.157
ˈʏː	ˈae̯	0.157
ˈʏː	ˈɛ	0.148
θ	d	1.0
