Old English	Icelandic	probability
ˈuː	ˈʏ	0.14
ˈuː	ˈiː	0.112
ˈuː	ˈɔ	0.072
ˈy	ˈɪ	0.418
ˈy	ˈʏ	0.261
ˈy	ˈou̯	0.207
ˈy	ˈɔ	0.114
ˈyː	ˈiː	0.358
ˈyː	ˈuː	0.358
ˈyː	ˈai̯	0.111
ˈyː	ˈʏː	0.059
ˈyː	ʏ	0.057
ˈyː	ˈʏ	0.057
ˈæ	ˈaː	0.551
ˈæ	v_ˈaː	0.162
ˈæ	ˈa	0.157
ˈæ	ˈœ	0.085
ˈæɑ̯	ˈa	0.872
ˈæɑ̯	ˈɑu̯	0.094
ˈæː	ˈɑːu̯	0.318
ˈæː	ˈɔ	0.275
ˈæː	ˈɛ	0.196
ˈæː	ˈɔː	0.165
ˈæːɑ̯	ˈœːy̯	0.537
ˈæːɑ̯	ˈɑːu̯	0.225
ˈæːɑ̯	j	0.069
ˈæːɑ̯	ˈœy̯	0.056
ˈɑ	ˈa	0.469
ˈɑ	ˈaː	0.229
ˈɑ	ˈɑu̯	0.119
ˈɑ	ˈɛː	0.1
ˈɑ	ˈœ	0.082
ˈɑː	ˈɛːi̯	0.326
ˈɑː	ˈɛi̯	0.169
ˈɑː	ˈau̯	0.166
ˈɑː	ˈaːu̯	0.097
ˈɑː	ˈɛ	0.068
ˈɛ	ˈau̯	0.68
ˈɛ	ˈɛ	0.32
θ	θ	0.681
θ	ð	0.258
θ	nː	0.062
