Faroese	Swiss German	probability
ʰpː	f	1.0
ʰt	sː	0.823
ʰt	s	0.11
ʰtː	χ	0.503
ʰtː	ʦ	0.298
ʰtː	sː	0.198
ʰʧ	k	1.0
ʰʧː	kː	1.0
ˈa	ˈɒ	0.635
ˈa	ˈæː	0.126
ˈa	ˈɒː	0.096
ˈa	ˈy	0.083
ˈai̯	ˈɛi̯	0.431
ˈai̯	ˈæi̯	0.347
ˈai̯	ˈei̯	0.222
ˈaːi̯	ˈei̯	0.516
ˈaːi̯	ˈæi̯	0.484
ˈeə̯	ˈe	1.0
ˈeː	ˈæ	0.358
ˈeː	ˈiə̯	0.28
ˈeː	ˈi	0.189
ˈeː	ˈeː	0.085
ˈeː	ˈæː	0.05
ˈiː	ˈi	0.473
ˈiː	ˈy	0.321
ˈiː	-	0.098
ˈiː	ˈæ	0.055
ˈiː	ˈu	0.052
ˈoː	ˈau̯	0.492
ˈoː	ˈoː	0.282
ˈoː	ˈo	0.204
ˈuː	ˈo	0.482
ˈuː	ˈyː	0.259
ˈuː	ˈæ	0.259
ˈøː	ˈæ	0.511
ˈøː	ˈyə̯	0.274
ˈøː	ˈe	0.086
ˈøː	ˈu	0.06
ˈœ	r	0.159
ˈœ	ˈi	0.158
ˈœ	ˈo	0.119
ˈœ	ˈu	0.106
ˈœ	rː	0.102
ˈœ	ˈø	0.08
ˈœ	ˈɒ	0.079
ˈœ	ˈuə̯	0.079
ˈœ	ˈou̯	0.057
ˈœ	ˈe	0.056
ˈɔ	ˈɒ	0.383
ˈɔ	ˈu	0.161
ˈɔ	ˈo	0.12
ˈɔ	ˈoː	0.116
ˈɔ	ˈøː	0.084
ˈɔːi̯	ˈøi̯	0.413
ˈɔːi̯	ˈoː	0.308
ˈɔːi̯	ˈøː	0.213
ˈɔːi̯	ˈou̯	0.066
ˈɔːu̯	ˈuə̯	0.375
ˈɔːu̯	ˈiə̯	0.313
ˈɔːu̯	ˈyː	0.173
ˈɔːu̯	ˈiː	0.069
ˈɔːu̯	ˈyə̯	0.069
ˈɔ̯aː	ˈɒː	0.293
ˈɔ̯aː	ˈoː	0.182
ˈɔ̯aː	j	0.15
ˈɔ̯aː	ˈo	0.124
ˈɔ̯aː	ˈeː	0.116
ˈɔ̯aː	-	0.089
ˈɛ	ˈæ	0.43
ˈɛ	-	0.123
ˈɛ	ˈe	0.12
ˈɛ	ˈei̯	0.069
ˈɛːa̯	ˈɒ	0.366
ˈɛːa̯	ˈi	0.265
ˈɛːa̯	ˈɒː	0.167
ˈɛːa̯	ˈyː	0.074
ˈɛːa̯	-	0.064
ˈɛːa̯	ˈæ	0.055
ˈɛːi̯	ˈoː	0.618
ˈɛːi̯	ˈau̯	0.218
ˈɛːi̯	ˈøi̯	0.11
ˈɪ	ˈi	0.555
ˈɪ	ˈy	0.165
ˈɪ	ˈyː	0.124
ˈʉːu̯	ˈuː	0.774
ˈʉːu̯	ˈyː	0.091
ˈʉːu̯	ˈoː	0.084
ˈʉːu̯	ˈu	0.051
ˈʊ	ˈu	0.424
ˈʊ	ˈuː	0.181
ˈʊ	ˈo	0.1
ˈʊ	ʋ_ˈu	0.085
ˈʊ	ˈø	0.069
ˈʊ	ˈy	0.051
ˈʊ̯iː	ˈiː	0.532
ˈʊ̯iː	ˈyː	0.342
ˈʊ̯iː	ˈiə̯	0.067
ˈʊ̯iː	ˈi	0.058
ˈʏ	ˈy	0.277
ˈʏ	ˈyː	0.277
ˈʏ	ˈi	0.153
ˈʏ	ˈuː	0.153
ˈʏ	ˈo	0.139
