Latin	Occitan	probability
ˈiː_lʲː	ˈi_l	1.0
ˈiː_r_ɛ_#>	ˈi_#>	1.0
ˈoː_t	ˈu_t	1.0
ˈu	ˈu	1.0
ˈuː_r_ʊ̃ː_#>	ˈy_#>	1.0
ˈɔ_n	ˈu_n	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈɛ_d	ˈɛ	1.0
ˈɛ_k	j_ˈɛ	1.0
ˈɛ_lʲː	ˈɛ_l	1.0
ˈɛ_n	ˈɛ_n	1.0
ˈɛ_r	ˈɛ_r	1.0
ˈɛ_rː	ˈɛ_r	1.0
ˈɪ_kː	ˈe_k	1.0
<#_ɡ	<#_ɡ	0.611
i	s	0.1
i	j	0.1
i	ɲ	0.1
i	ʧ	0.1
iː	i	0.571
r	r	0.181
w	v	0.571
ɪ	e	0.381
ɫ	-	0.1
ʊ̃ː_#>	e_#>	0.081
ˈiː	-	0.071
ˈɛ	e	0.1
<#_k	<#_k	0.792
b	-	0.2
b	b	0.2
d	-	0.842
m	-	0.12
ˈɔ	ɥ_ˈɛ	0.172
ˈʊ	ˈy	0.182
k	z	0.103
p	β	0.133
p	s	0.133
p	p	0.133
s	s	0.583
ɛ	-	0.263
ɡ	-	0.583
ʊ	-	0.583
ˈaː	-	0.143
ˈɔ	ˈu	0.103
ˈɪ	ˈɛ	0.133
<#	<#_s	0.154
<#_ˈɔ	<#_ˈɔ	0.4
a	a	0.864
k	-	0.414
n	n	0.84
r_ɛ_#>	e_#>	0.4
s_k	s_k	0.444
t	ð	0.214
ɛ̃ː_#>	#>	0.814
i	ʤ	0.15
i	-	0.45
oː	u	0.5
oː	-	0.5
s	-	0.25
t_i	s	0.5
t_i	ʦ	0.5
ɛ_#>	e_#>	0.375
ɛ_#>	#>	0.625
ɡ	ʤ	0.25
ɪ	ˈe	0.095
ɪ	u	0.095
ɫ	w	0.075
ɫ	l	0.825
ˈa	ˈa	0.955
ˈoː	ˈe	0.105
ˈoː	ˈu	0.895
ˈuː	ˈi	0.105
ˈuː	ˈy	0.895
ˈɛ	j_ˈɛ	0.15
ˈɛ	ˈɛ	0.75
<#	<#_e	0.846
<#_ˈɔ	<#_ɥ	0.6
a	-	0.136
b	β	0.6
n	-	0.16
p	-	0.6
r	-	0.236
r	ɾ	0.556
r_ɛ_#>	ˈi_#>	0.6
s_k	j_s	0.556
ɛ̃ː_#>	e_#>	0.186
ˈɔ	ˈɔ	0.586
<#_k	<#_s	0.167
k	ɣ	0.207
s	z	0.167
t	-	0.357
ɛ	e	0.737
ɡ	ɣ	0.167
ʊ	u	0.417
ˈaː	ˈa	0.857
ˈɪ	ˈe	0.867
d	t	0.158
k	s	0.138
m	m	0.88
ˈɔ	ɥ_ˈɔ	0.138
ˈʊ	ˈu	0.818
<#_ɡ	<#_ʤ	0.389
iː	-	0.429
k	k	0.069
k	j	0.069
t	t	0.429
w	β	0.429
ɪ	-	0.429
ʊ̃ː_#>	#>	0.919
ˈiː	ˈi	0.929
