Icelandic	German	probability
d̥_#>	d̥_#>	1.0
c	-	1.0
a	ə	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_ɟ̊	<#_ɡ	1.0
<#_ç	<#_h	1.0
<#_v	<#_v	1.0
<#_tʰ	<#_ʦ	1.0
<#_r̥	<#_ʁ	1.0
<#_r	<#_ʁ	1.0
<#_n̥	<#_kʰ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l̥	<#_l	1.0
<#_l	<#_l	1.0
<#_j	<#_ˈɛ	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_d̥	<#_tʰ	1.0
<#_cʰ	<#_kʰ	1.0
<#_b̥	<#_b	1.0
<#_θ	<#_d	0.875
ˈoːu̯	ˈuː	0.8
n̥_#>	#>	0.8
ˈa	ˈa	0.786
nː	n	0.778
j	-	0.769
n_#>	n_#>	0.714
ʏ	-	0.704
r̥_#>	#>	0.702
<#_kʰ	<#_kʰ	0.7
a_#>	n_#>	0.689
<#	v_<#	0.667
ˈɪ	ˈɪ	0.615
ɪ_#>	#>	0.6
ˈɔ	ˈʊ	0.571
r	ʁ	0.571
ˈaː	ˈaː	0.545
ˈiː	ˈaɪ̯	0.538
ð	t	0.538
<#_s	<#_z	0.526
ˈɛ	ˈɛ	0.5
ˈœ	ˈaː	0.5
ˈœ	ˈa	0.5
ˈaːi̯	ˈyː	0.5
ˈaːi̯	ˈuː	0.5
ʰt	x_t	0.5
v	v	0.5
r_t	ɐ_n	0.5
r_t	ɐ	0.5
k_ʏ_r̥_#>	ʃ_#>	0.5
k_ʏ_r̥_#>	ç_#>	0.5
<#_ˈɛ	<#_ˈɛ	0.5
<#_ˈɛ	<#	0.5
#>	ə_#>	0.5
#>	n_#>	0.5
<#_s	<#_ʃ	0.474
t	s	0.467
ˈaː	ˈa	0.455
ˈʏ	ˈʊ	0.429
ˈɔ	ˈɔ	0.429
s	-	0.429
ˈɛː	ˈeː	0.333
r	ɐ	0.333
k	x	0.333
<#	j_<#	0.333
ˈiː	ˈɔʏ̯	0.308
ˈɛ	ˈaɪ̯	0.3
<#_kʰ	<#	0.3
ˈʏ	ˈʏ	0.286
ˈʏ	ˈaʊ̯	0.286
s	z	0.286
s	t	0.286
n_#>	#>	0.286
v	b	0.278
t	t	0.267
r̥_#>	ɐ_#>	0.263
ʰt	ʦ	0.25
ʰt	ç_t	0.25
ˈɪ	ˈʏ_k	0.231
j	ˈeː	0.231
ˈɛː	ˈɛ	0.222
ˈɛː	ˈiː_ɐ	0.222
ˈɛː	ˈaː_z	0.222
nː	n_d	0.222
k	ç	0.222
k	k	0.222
k	-	0.222
ˈa	ˈɛ	0.214
ˈɛ	ʁ_ˈɪ	0.2
ˈoːu̯	ˈʊ	0.2
ɪ_#>	ə_#>	0.2
ɪ_#>	d̥_#>	0.2
n̥_#>	n_#>	0.2
a_#>	ə_#>	0.2
ˈɪ	ˈɔ	0.154
ˈiː	ˈiː	0.154
ð	d̥	0.154
ð	d	0.154
ð	-	0.154
ʏ	ə	0.148
t	ʦ	0.133
t	-	0.133
<#_θ	<#	0.125
v	f	0.111
v	-	0.111
a_#>	#>	0.111
r	-	0.095
ʏ	n	0.074
ʏ	d̥	0.074
