Icelandic	Bokmål Norwegian	probability
ˈaː	ˈɑː	0.663
ˈaː	ˈɑ	0.149
ˈaː	ˈɛ	0.098
ˈaː	-	0.075
ˈaːi̯	ˈøː	0.212
ˈaːi̯	ˈeː	0.201
ˈaːi̯	ˈoː	0.185
ˈaːi̯	ˈœ	0.102
ˈaːu̯	ˈoː	0.232
ˈeːi̯	ˈæɪ̯	0.5
ˈeːi̯	ˈœ	0.5
ˈi	ˈɪ	0.57
ˈi	ˈʏ	0.215
ˈi	ˈoː	0.082
ˈiː	ˈiː	0.637
ˈiː	ˈyː	0.156
ˈiː	ˈʉː	0.109
ˈiː	ˈeː	0.083
ˈiː_ð	ˈiː	1.0
ˈou̯	ˈʊ	0.5
ˈou̯	ˈɔ	0.5
ˈoːu̯	ˈuː	0.867
ˈoːu̯	ˈʏ	0.112
ˈoːu̯_ð	ˈuː	0.796
ˈoːu̯_ð	ˈyː	0.154
ˈu	ˈʊ	0.326
ˈu	ˈʉ	0.284
ˈu	ˈʏ	0.187
ˈu	ˈʉː	0.187
ˈuː	ˈʉː	1.0
ˈœ	ˈɑ	0.389
ˈœ	ˈøː	0.194
ˈœ	ˈuː	0.129
ˈœ	ˈæɪ̯	0.124
ˈœ	ˈœ	0.082
ˈœy̯	ˈøː	0.232
ˈœː	ˈuː	0.629
ˈœː	ˈʉː	0.2
ˈœː	ˈæː	0.043
ˈœːy̯	ˈøː	0.715
ˈœːy̯	ˈœ	0.193
ˈœːy̯_ð	ˈøː	1.0
ˈɑu̯	ˈɑ	0.733
ˈɑu̯	ˈɔ	0.265
ˈɑːu̯	ˈoː	0.729
ˈɑːu̯	j	0.117
ˈɑːu̯	-	0.109
ˈɔ	ˈuː	0.443
ˈɔ	ˈɔ	0.242
ˈɔ	ˈʊ	0.109
ˈɔ	ʋ	0.083
ˈɔ	ˈoː	0.081
ˈɔu̯	ˈɑ	0.27
ˈɔu̯	ˈɛ	0.222
ˈɔu̯	ˈuː	0.205
ˈɔː	ˈoː	0.5
ˈɔː	ˈœ	0.5
ˈɛ	ˈɛ	0.596
ˈɛ	ˈɪ	0.149
ˈɛ	-	0.069
ˈɛ	ˈæɪ̯	0.069
ˈɛ	ˈæ	0.056
ˈɛi̯	ˈæɪ̯	0.318
ˈɛi̯	ˈeː	0.318
ˈɛː	ˈeː	0.302
ˈɛː	ˈæː	0.194
ˈɛː	ˈɑː	0.112
ˈɛː	ˈæ	0.112
ˈɛː	ˈæɪ̯	0.112
ˈɛːi̯	ˈæɪ̯	0.243
ˈɛːi̯	ˈøː	0.243
ˈɛːi̯	ˈeː	0.131
ˈɛːi̯	j	0.117
ˈɛːi̯	ˈœʏ̯	0.083
ˈɪ	ˈɪ	0.31
ˈɪ	ˈœ	0.174
ˈɪ	ˈʏ	0.115
ˈɪ	ˈuː	0.115
ˈɪ	-	0.088
ˈɪː	ˈiː	0.32
ˈɪː	ˈæɪ̯	0.242
ˈɪː	ˈɪ	0.242
ˈɪː	ˈeː	0.145
ˈʏ	ˈʉ	0.596
ˈʏ	ˈʉː	0.121
ˈʏ	ˈœ	0.121
ˈʏ	ˈʏ	0.083
ˈʏ	ˈʊ	0.061
ˈʏ_t	ˈʉ	0.482
ˈʏː	ˈʉː	0.416
ˈʏː	ˈyː	0.275
ˈʏː	ˈʊ	0.152
ˈʏː	ˈɪ	0.061
θ	tʰ	0.851
θ	ç	0.08
θ	d	0.06
