West Frisian	Icelandic	probability
ˈɔ	ˈɔu̯	0.112
ˈɔ	ˈɪ	0.098
ˈɔ	ˈi	0.066
ˈɔ	-	0.065
ˈɔ	ˈɛ	0.065
ˈɔ	ˈoːu̯	0.064
ˈɔ	ˈʏː	0.064
ˈɔu̯	ˈʏ	0.758
ˈɔu̯	ˈoːu̯	0.077
ˈɔː	ˈa	0.656
ˈɔː	ˈœ	0.135
ˈɔː	ˈœː	0.135
ˈɛ	ˈa	0.253
ˈɛ	ˈiː	0.253
ˈɛ	ˈœːy̯	0.124
ˈɛ	ˈɪ	0.124
ˈɛ	ˈɛ	0.113
ˈɛ	ˈɛː	0.06
ˈɛi̯	ˈɛ	0.416
ˈɛi̯	ˈeːi̯	0.239
ˈɛi̯	ˈœ	0.239
ˈɛː	ˈa	0.398
ˈɛː	ˈaː	0.347
ˈɛː	ˈɪ	0.229
ˈɪ	ˈɛ	0.178
ˈɪ	ˈɪː	0.132
ˈɪ	ˈi	0.112
ˈɪ	ˈɪ	0.103
ˈɪ	ˈa	0.09
ˈɪ	-	0.078
ˈɪ	ˈɛː	0.068
ˈɪ	ˈaːi̯	0.059
ˈɪ	ˈuː	0.059
ˈɪə̯	ˈœːy̯	0.271
ˈɪə̯	ˈɛːi̯	0.169
ˈɪə̯	ˈœːy̯_ð	0.109
ˈɪə̯	j	0.109
ˈɪə̯	ˈa	0.109
ˈɪə̯	ˈaː	0.055
ˈɪə̯	ˈoːu̯	0.055
ˈɵ	ˈaːi̯	0.467
χ	ʰt	0.229
χ	ʰt_ʏ	0.229
χ	ɡ̊	0.136
χ	ɣ	0.09
χ	r̥	0.088
χ	rː̥	0.07
χ	s	0.066
χ	ɡ̊_ʏ	0.051
