Danish	Pennsylvania German	probability
ˈa	ˈaː	0.124
ˈa	ˈɛ	0.073
ˈaː	ˈa	1.0
ˈe	ˈɪ	0.676
ˈe	ˈɛ	0.248
ˈe	-	0.064
ˈeˀ	ˈeː	0.5
ˈeˀ	ˈɛ	0.231
ˈeˀ	ˈiː	0.14
ˈeˀ	ˈa	0.07
ˈeˀ	ˈɔɪ̯	0.039
ˈeˀ_n	ˈeː	1.0
ˈeː	ˈa	0.284
ˈeː	ˈeː	0.284
ˈi	ˈɛː	0.301
ˈi	ˈaɪ̯	0.262
ˈi	ɑ	0.084
ˈiˀ	ˈaɪ̯	0.727
ˈiˀ	ˈɪ	0.152
ˈiˀ	ˈeː	0.107
ˈiː	ˈaɪ̯	0.416
ˈiː	ˈiː	0.239
ˈiː	ˈɪ	0.156
ˈiː	ˈɔː	0.102
ˈo	ˈaː	0.433
ˈo	ʋ	0.273
ˈo	ˈuː	0.157
ˈo	-	0.111
ˈoˀ	ˈuː	0.641
ˈoˀ	ˈaʊ̯	0.14
ˈoˀ	ˈɛ	0.099
ˈoˀ	ˈeː	0.099
ˈoː	ˈʊ	0.257
ˈoː	ˈɔː	0.239
ˈoː	ˈa	0.167
ˈoː	ˈɪ	0.07
ˈoː	ˈɔ	0.066
ˈu	ˈɔ	0.314
ˈu	ˈʊ	0.22
ˈu	ʋ_ˈɔ	0.191
ˈu	ˈuː	0.145
ˈu	ˈɛ	0.099
ˈuˀ	ˈaʊ̯	0.659
ˈuˀ	ˈɔ	0.122
ˈuˀ	ˈaɪ̯	0.122
ˈuˀ	ˈeː	0.089
ˈuː	ˈaɪ̯	1.0
ˈy	ˈɪ	0.488
ˈy	ˈaɪ̯	0.198
ˈy	ˈʊ	0.183
ˈyˀ	ˈiː	0.398
ˈyˀ	ˈɪ	0.272
ˈyˀ	ˈaɪ̯	0.272
ˈyː	ˈiː	1.0
ˈæ	ˈɛː	1.0
ˈæˀ	ˈɔː	0.244
ˈø	ˈɪ	0.494
ˈøː	ˈeː	0.415
ˈøː	ˈoː	0.315
ˈøː	ˈɔː	0.194
ˈœ	ˈɪ	0.383
ˈœ	ˈiː	0.101
ˈœ	ˈʊ	0.101
ˈœ	ˈɔ	0.094
ˈœ	-	0.071
ˈœˀ	ˈoː	0.347
ˈœˀ	ˈiː	0.206
ˈœˀ	ˈɔː	0.206
ˈœˀ	ˈɛː	0.206
ˈɑ	ˈa	0.578
ˈɑ	ˈɪ	0.203
ˈɑ	ˈɛ	0.095
ˈɑ	ˈaɪ̯	0.095
ˈɑˀ	ˈaː	0.361
ˈɑˀ	ˈeː	0.361
ˈɑˀ	ˈɔː	0.205
ˈɑː	ˈa	0.66
ˈɑː	ˈɔː	0.161
ˈɒ	ˈɔ	0.494
ˈɒˀ	ˈɔː	0.326
ˈɒˀ	ˈoː	0.326
ˈɒː	ˈoː	1.0
ˈɔ	ˈʊ	0.623
ˈɔ	ˈaʊ̯	0.349
ˈɔˀ	ˈoː	0.441
ˈɔˀ	ˈa	0.247
ˈɔˀ	ˈaː	0.104
ˈɔˀ	ˈɔː	0.094
ˈɔː	ˈoː	1.0
ˈɛ	ˈa	0.307
ˈɛ	ˈɛ	0.187
ˈɛ	ˈɛː	0.172
ˈɛ	ˈaɪ̯	0.155
ˈɛ	ˈɔ	0.078
ˈɛˀ	ˈɛ	0.37
ˈɛˀ	ˈɔː	0.228
ˈɛˀ	ˈaɪ̯	0.119
ˈɛˀ	ˈeː	0.074
ˈɛː	ˈɔː	0.415
ˈɛː	ˈa	0.205
ˈɛː	ˈɛ	0.205
ˈʌ	ˈa	0.329
ˈʌ	ˈʊ	0.214
ˈʌ	ˈeː	0.16
ˈʌ	ˈɔː	0.114
ˈʌ	ˈɛ	0.054
ˈʌˀ	ˈaʊ̯	0.326
ˈʌˀ	ˈoː	0.326
