Danish	Westphalian	probability
ˈuː	ˈuː	0.681
ˈuː	ˈiɛ̯	0.184
ˈuː	ˈaɪ̯	0.134
ˈy	ˈyː	0.602
ˈy	ˈɪ	0.398
ˈyˀ	ˈaɪ̯	0.411
ˈyˀ	ˈiː	0.282
ˈyˀ	ˈɛ	0.133
ˈyˀ	ˈyː	0.093
ˈyˀ	ˈɪə̯	0.082
ˈyː	ˈaɪ̯	0.956
ˈæ	ˈɛː	1.0
ˈæˀ	ˈa	1.0
ˈø	ˈɪ	1.0
ˈøː	ˈøː	0.647
ˈøː	ˈɔː	0.138
ˈøː	ˈaʊ̯	0.13
ˈøː	ˈœː	0.085
ˈœ	ˈʏ	0.283
ˈœ	ˈuːə̯	0.258
ˈœ	ˈaɪ̯	0.168
ˈœ	ˈɛ	0.168
ˈœ	ˈøː	0.086
ˈœˀ	ˈaʊ̯	0.63
ˈœˀ	ˈøː	0.224
ˈœˀ	-	0.085
ˈœˀ	r	0.061
ˈœː	ˈɛ	1.0
ˈɑ	ˈa	0.529
ˈɑ	ˈɪɛ̯	0.125
ˈɑ	ˈiː	0.113
ˈɑ	ˈø	0.082
ˈɑ	-	0.059
ˈɑˀ	ˈaː	0.497
ˈɑˀ	ˈa	0.337
ˈɑˀ	ˈɛ	0.166
ˈɑː	ˈaː	0.659
ˈɑː	ˈɒː	0.341
ˈɒ	ˈuːə̯	1.0
ˈɒˀ	ˈɔː	1.0
ˈɒː	ˈɔː	1.0
ˈɔ	ˈʊ	0.96
ˈɔˀ	ˈɔː_n	0.278
ˈɔˀ	ˈuːə̯	0.239
ˈɔˀ	ˈɔː	0.211
ˈɔˀ	ˈoː	0.088
ˈɔˀ	ˈeː	0.084
ˈɔˀ	ˈaʊ̯	0.054
ˈɔː	ˈɔː	1.0
ˈɛ	ˈa	0.384
ˈɛ	ˈɛ	0.241
ˈɛ	ˈiː	0.134
ˈɛ	ˈɔ	0.109
ˈɛ	ˈɪ	0.094
ˈɛˀ	ˈɪɛ̯	0.488
ˈɛˀ	ˈaɪ̯	0.311
ˈɛˀ	ˈiː	0.126
ˈɛˀ	ˈyː	0.075
ˈɛː	ˈɪɛ̯	0.605
ˈɛː	ˈɪə̯	0.258
ˈɛː	ˈɛ	0.137
ˈʌ	ˈa	0.307
ˈʌ	ˈoː	0.268
ˈʌ	-	0.164
ˈʌ	ˈaʊ̯	0.095
ˈʌ	ˈuə̯	0.09
ˈʌˀ	ˈaʊ̯	1.0
