Icelandic	Afrikaans	probability
ˈou̯	w	0.232
ˈoːu̯	ˈu	0.351
ˈoːu̯	ˈi	0.317
ˈoːu̯	ˈɔ	0.085
ˈoːu̯	r	0.085
ˈoːu̯	ˈuː	0.072
ˈu	ˈɔ	0.583
ˈu	j	0.263
ˈu	ˈɪ	0.105
ˈuː	ˈœɪ̯	0.66
ˈuː	ˈi	0.308
ˈœ	ˈa	0.351
ˈœ	ˈɔː	0.232
ˈœ	-	0.232
ˈœ	ˈɑː	0.148
ˈœy̯	ˈʊə̯	1.0
ˈœː	ˈɪə̯	0.253
ˈœː	-	0.172
ˈœː	ə	0.172
ˈœː	ˈʊə̯	0.162
ˈœː	ˈɔ	0.11
ˈœːy̯	ˈʊə̯	0.803
ˈœːy̯	ˈoːi̯	0.194
ˈɑu̯	ˈa	1.0
ˈɑːu̯	ˈɑː	0.564
ˈɑːu̯	ˈʊə̯	0.168
ˈɑːu̯	n	0.123
ˈɑːu̯	ˈi	0.119
ˈɔ	ˈʊə̯	0.574
ˈɔ	ˈɔ	0.339
ˈɔ	ˈɑː	0.079
ˈɔu̯	ˈa	0.297
ˈɔu̯	ˈɔ	0.19
ˈɔu̯	ˈu	0.19
ˈɔu̯	ˈɛ	0.19
ˈɔː	ˈɑː	0.574
ˈɔː	ˈɪø̯	0.295
ˈɛ	ˈɛ	0.303
ˈɛ	ˈa	0.224
ˈɛ	ˈə	0.107
ˈɛ	-	0.085
ˈɛ	ˈɑː	0.072
ˈɛi̯	ˈɪə̯	1.0
ˈɛː	ˈɪə̯	0.347
ˈɛː	ˈi	0.339
ˈɛː	ˈæ	0.098
ˈɛː	ˈɛ	0.076
ˈɛː	ˈɑː	0.066
ˈɛːi̯	ˈʊə̯	0.474
ˈɛːi̯	ˈəɪ̯	0.174
ˈɛːi̯	ˈɛː	0.132
ˈɛːi̯	ˈɪə̯	0.132
ˈɪ	ˈə	0.505
ˈɪ	ˈœ	0.141
ˈɪ	ˈʊə̯	0.126
ˈɪ	ˈɔ	0.126
ˈɪ	ˈɛ	0.072
ˈɪː	ˈɪə̯	0.437
ˈɪː	ˈə	0.331
ˈɪː	ˈəɪ̯	0.219
ˈʏ	ˈɔ	0.518
ˈʏ	ˈʊə̯	0.142
ˈʏ	ˈœɪ̯	0.108
ˈʏ	ˈœu̯	0.108
ˈʏ	ˈœ	0.108
ˈʏː	ˈɪə̯	0.161
ˈʏː	ˈɔ	0.14
ˈʏː	ˈyː	0.132
ˈʏː	ˈi	0.122
ˈʏː	ˈɪø̯	0.078
θ	d	1.0
