Danish	Northern Low Saxon	probability
ˈyː	ˈaɪ̯	0.567
ˈyː	ˈeɪ̯	0.345
ˈyː	ˈɪ	0.088
ˈæ	ˈɛɪ̯	1.0
ˈæˀ	ˈa	1.0
ˈø	ˈɪ	0.5
ˈø	ˈʏ	0.5
ˈøː	ˈɔʏ̯	0.751
ˈøː	ˈaʊ̯	0.249
ˈœ	ˈʏ	0.338
ˈœ	ˈø	0.237
ˈœ	ˈɔ	0.176
ˈœ	ˈɔʏ̯	0.171
ˈœˀ	ˈaʊ̯	0.621
ˈœˀ	ˈɔʏ̯	0.251
ˈœˀ	ˈoː	0.129
ˈœː	ˈeː	1.0
ˈɑ	ˈa	0.443
ˈɑ	-	0.279
ˈɑ	ˈʏ	0.097
ˈɑ	ˈiː	0.087
ˈɑ	ˈeɪ̯	0.058
ˈɑˀ	ˈoː	0.498
ˈɑˀ	ˈaː	0.253
ˈɑˀ	ˈɛ	0.249
ˈɑː	ˈoː	1.0
ˈɒ	ˈoː	1.0
ˈɒˀ	ˈoː	1.0
ˈɒː	ˈoː	1.0
ˈɔ	ˈʊ	0.673
ˈɔ	ˈʏ	0.21
ˈɔ	ˈɔ	0.071
ˈɔˀ	ˈaʊ̯	0.387
ˈɔˀ	ˈoː	0.273
ˈɔˀ	ˈoː_n	0.173
ˈɔˀ	ˈɔ	0.167
ˈɔː	ˈoː	1.0
ˈɛ	ˈa	0.356
ˈɛ	ˈaː	0.137
ˈɛ	ˈœ	0.125
ˈɛ	ˈɪ	0.092
ˈɛ	ˈiː	0.086
ˈɛ	ˈɔ	0.08
ˈɛˀ	ˈiː	0.589
ˈɛˀ	ˈɛ	0.178
ˈɛˀ	ˈaɪ̯	0.126
ˈɛˀ	ˈyː	0.107
ˈɛː	ˈɛ	0.356
ˈɛː	ˈøː	0.354
ˈɛː	ˈeː	0.29
ˈʌ	ˈaʊ̯	0.251
ˈʌ	ˈoː	0.224
ˈʌ	ˈɔʏ̯	0.148
ˈʌ	-	0.131
ˈʌ	ˈʏ	0.1
ˈʌ	ˈa	0.068
ˈʌ	ˈʊ	0.056
ˈʌˀ	ˈaʊ̯	1.0
