Icelandic	Saterland Frisian	probability
ˈu	ˈʊ	0.887
ˈu	ˈu	0.057
ˈu	ˈɪ	0.057
ˈuː	ˈuː	0.464
ˈuː	ˈoː	0.332
ˈuː	ˈyː	0.078
ˈœ	ˈɔː	0.355
ˈœ	ˈoːu̯	0.352
ˈœ	ˈɛɪ̯	0.11
ˈœ	ˈaːi̯	0.084
ˈœ	ˈa	0.057
ˈœː	ˈoː	0.429
ˈœː	ˈɛɪ̯	0.254
ˈœː	ˈɔ	0.203
ˈœː	ˈaːu̯	0.114
ˈœːy̯	ˈoː	1.0
ˈɑu̯	ˈɔː	0.806
ˈɑu̯	ˈa	0.143
ˈɑu̯	ˈoː	0.051
ˈɑːu̯	ˈiː	0.548
ˈɑːu̯	ˈoː	0.221
ˈɑːu̯	ˈɛ	0.072
ˈɑːu̯	ˈɛɪ̯	0.069
ˈɔ	ˈɔː	0.442
ˈɔ	ˈoːu̯	0.415
ˈɔ	ˈɛɪ̯	0.057
ˈɔ	ˈʊ	0.052
ˈɔu̯	ˈɔː	0.743
ˈɔu̯	ˈoːu̯	0.158
ˈɔu̯	ˈɔ	0.1
ˈɔː	ˈuː	0.769
ˈɔː	ˈɛɪ̯	0.231
ˈɛ	ˈɪ	0.237
ˈɛ	ˈɛ	0.183
ˈɛ	ˈɛɪ̯	0.114
ˈɛ	ˈi	0.102
ˈɛ	ˈa	0.098
ˈɛ	ˈɔːɪ̯	0.085
ˈɛ	ˈiː	0.079
ˈɛ	ˈʊ	0.077
ˈɛi̯	ˈaː	0.5
ˈɛi̯	ˈeː	0.5
ˈɛː	ˈi	0.537
ˈɛː	ˈɛɪ̯	0.118
ˈɛː	ˈɔː	0.093
ˈɛː	ˈeː	0.064
ˈɛː	ˈɪ	0.056
ˈɛː	ˈoː	0.052
ˈɛːi̯	ˈeː	0.767
ˈɛːi̯	ˈɔː	0.121
ˈɛːi̯	ˈoː	0.112
ˈɪ	ˈiː	0.48
ˈɪ	ˈɛː	0.258
ˈɪ	ˈoːu̯	0.11
ˈɪ	ˈʊ	0.09
ˈɪ	ˈɪ	0.063
ˈɪː	ˈiː	0.238
ˈɪː	ˈɪ	0.238
ˈɪː	ˈiːu̯	0.136
ˈɪː	ˈi	0.131
ˈɪː	ˈɔː	0.13
ˈɪː	ˈeː	0.127
ˈʏ	ˈʊ	0.289
ˈʏ	ˈuː	0.271
ˈʏ	ˈɛː	0.109
ˈʏ	ˈɔ	0.077
ˈʏ	ˈu	0.077
ˈʏ	ˈoːu̯	0.063
ˈʏ	v_ˈʊ	0.058
ˈʏ	ˈa	0.056
ˈʏː	ˈuː	0.762
ˈʏː	j	0.165
ˈʏː	ˈɔ	0.073
θ	t	0.537
θ	d	0.387
θ	-	0.076
