Danish	Bavarian	probability
ˈiː	ˈai̯	0.371
ˈiː	ˈi	0.332
ˈiː	ˈoɐ̯	0.161
ˈiː	ˈo	0.136
ˈo	ˈoɐ̯	0.785
ˈo	ˈuɐ̯	0.215
ˈoˀ	ˈuɐ̯	0.651
ˈoˀ	ˈau̯	0.105
ˈoˀ	ˈoɐ̯	0.105
ˈoˀ	ˈe	0.092
ˈoː	ˈɒ	0.309
ˈoː	ˈuɐ̯	0.223
ˈoː	-	0.203
ˈoː	ˈɔ	0.117
ˈoː	ˈy	0.093
ˈoː	ˈaː	0.055
ˈu	ˈu	0.626
ˈu	ʋ_ˈo	0.236
ˈu	ˈo	0.081
ˈu	ˈɔ	0.057
ˈuˀ	ˈau̯	0.648
ˈuˀ	ˈoː	0.151
ˈuˀ	ˈai̯	0.103
ˈuˀ	ˈe	0.098
ˈuː	ˈau̯	0.506
ˈuː	ˈu	0.256
ˈuː	ˈo	0.238
ˈy	ˈai̯	0.5
ˈy	ˈu	0.5
ˈyˀ	ˈai̯	0.547
ˈyˀ	ˈiɐ̯	0.241
ˈyˀ	ˈiː	0.141
ˈyˀ	ˈe	0.071
ˈyː	ˈiɐ̯	0.579
ˈyː	ˈiː	0.317
ˈyː	ˈa	0.104
ˈæ	ˈo	0.665
ˈæ	ˈe	0.335
ˈæˀ	ˈoː	1.0
ˈø	ˈi	0.5
ˈø	ˈʏ	0.5
ˈøː	ˈuɐ̯	0.495
ˈøː	-	0.223
ˈøː	ˈe	0.22
ˈøː	ˈa	0.062
ˈœ	ˈu	0.427
ˈœ	ˈi	0.244
ˈœ	ˈo	0.093
ˈœ	-	0.08
ˈœ	ˈiɐ̯	0.07
ˈœˀ	ˈaː	0.36
ˈœˀ	ˈou̯	0.175
ˈœˀ	ˈeɐ̯	0.154
ˈœˀ	ˈɛ	0.101
ˈœˀ	ˈoɐ̯	0.099
ˈœˀ	ˈu	0.064
ˈœː	ˈe	1.0
ˈɑ	ˈai̯	0.382
ˈɑ	ˈi	0.33
ˈɑ	ˈeː	0.239
ˈɑˀ	ˈɒ	0.42
ˈɑˀ	ˈoɐ̯	0.374
ˈɑˀ	ˈa	0.206
ˈɑː	ˈoː	1.0
ˈɒ	ˈoː	1.0
ˈɒˀ	-	0.5
ˈɒˀ	ˈoɐ̯	0.5
ˈɒː	ˈɔ	1.0
ˈɔ	ˈu	0.83
ˈɔ	ˈau̯	0.129
ˈɔˀ	ɐ	0.352
ˈɔˀ	ˈe	0.239
ˈɔˀ	ˈɔ	0.239
ˈɔˀ	ˈeː	0.115
ˈɔˀ	ˈɒː	0.054
ˈɔː	ˈɔ	0.808
ˈɔː	ˈoː	0.192
ˈɛ	ˈe	0.26
ˈɛ	ˈɛ	0.163
ˈɛ	ˈo	0.162
ˈɛ	ˈi	0.135
ˈɛ	ˈɔ	0.105
ˈɛ	ˈa	0.06
ˈɛ	ˈɒː	0.052
ˈɛˀ	ˈoɐ̯	0.256
ˈɛˀ	ˈi	0.237
ˈɛˀ	ˈai̯	0.225
ˈɛˀ	ˈo	0.153
ˈɛˀ	ˈe	0.128
ˈɛː	ˈɛ	0.676
ˈɛː	ˈoː	0.324
ˈʌ	ˈeɐ̯	0.211
ˈʌ	ˈɛ	0.184
ˈʌ	ˈu	0.153
ˈʌ	ˈi	0.132
ˈʌ	ˈau̯	0.098
ˈʌ	ˈo	0.088
ˈʌ	ˈɔ	0.087
ˈʌˀ	ˈou̯	0.672
ˈʌˀ	ˈaː	0.328
