Icelandic	Swedish	probability
ˈɔ_r	ˈuː	1.0
ˈɔu̯	ˈuː	0.218
ˈɔu̯	ˈœ	0.218
ˈɔu̯	ˈa	0.129
ˈɔu̯	ˈɔ	0.064
ˈɔː	ˈoː	1.0
ˈɛ	ˈɛ	0.72
ˈɛ	-	0.106
ˈɛ	ˈæ	0.057
ˈɛ	ˈɪ	0.045
ˈɛ	ˈæː	0.045
ˈɛi̯	ˈeː	0.66
ˈɛi̯	ˈɛ	0.148
ˈɛː	ˈɛː	0.48
ˈɛː	ˈɑː	0.151
ˈɛː	ˈʉː	0.08
ˈɛː	ˈiː	0.08
ˈɛː	ˈeː	0.06
ˈɛːi̯	ˈeː	0.35
ˈɛːi̯	ˈœː	0.226
ˈɛːi̯	ˈøː	0.112
ˈɛːi̯	ˈɛː	0.112
ˈɛːi̯	ˈɛ	0.107
ˈɪ	ˈʏ	0.299
ˈɪ	ˈœ	0.193
ˈɪ	ˈɪ	0.158
ˈɪ	ˈeː	0.095
ˈɪ	ˈɔ	0.086
ˈɪː	ˈɛ	0.288
ˈɪː	ˈeː	0.206
ˈɪː	ˈɪ	0.19
ˈʏ	ˈɵ	0.61
ˈʏ	ˈɔ	0.127
ˈʏ	ˈoː	0.127
ˈʏ	ˈʊ	0.127
ˈʏ_t	ˈɵ	1.0
ˈʏː	ˈʉː	0.633
ˈʏː	ˈyː	0.143
ˈʏː	ˈoː	0.143
θ	tʰ	0.601
θ	ɕ	0.19
θ	d	0.109
θ	t	0.08
