Icelandic	Bavarian	probability
ˈœːy̯	ˈaː	0.295
ˈœːy̯	ˈou̯	0.295
ˈœːy̯	ˈoɐ̯	0.194
ˈœːy̯	ˈa	0.084
ˈœːy̯	ˈau̯	0.058
ˈɑu̯	ˈa	0.179
ˈɑu̯	ˈɒ	0.156
ˈɑu̯	ˈɔ	0.156
ˈɑːu̯	ˈou̯	0.392
ˈɑːu̯	ˈɔ	0.392
ˈɑːu̯	ˈoɐ̯	0.122
ˈɔ	ˈu	0.683
ˈɔ	ˈoː	0.219
ˈɔ_r	ˈoɐ̯	1.0
ˈɔu̯	ˈɔ	0.413
ˈɔu̯	ˈu	0.152
ˈɔː	ˈu	0.423
ˈɔː	ˈɔ	0.1
ˈɛ	ˈɛ	0.189
ˈɛ	ˈi	0.175
ˈɛ	ˈe	0.175
ˈɛ	ˈoɐ̯	0.101
ˈɛ	ˈeː	0.078
ˈɛ	ˈɒ	0.078
ˈɛ	ˈo	0.076
ˈɛ	ˈai̯	0.045
ˈɛi̯	ˈoɐ̯	1.0
ˈɛː	ˈi	0.402
ˈɛː	ˈe	0.158
ˈɛː	ˈeː	0.158
ˈɛː	ˈɛ	0.158
ˈɛː	ˈoː	0.106
ˈɛːi̯	ˈoɐ̯	0.598
ˈɛːi̯	ˈe	0.153
ˈɛːi̯	ˈaː	0.11
ˈɛːi̯	ˈo	0.103
ˈɪ	ˈi	0.293
ˈɪ	ˈiː	0.165
ˈɪ	ˈɛ	0.165
ˈɪ	ˈu	0.092
ˈɪ	ˈo	0.066
ˈɪː	ˈi	0.78
ˈɪː	ˈeː	0.219
ˈʏ	ˈo	0.398
ˈʏ	ˈau̯	0.229
ˈʏ	ˈoː	0.147
ˈʏ	ˈu	0.147
ˈʏː	ˈe	0.198
ˈʏː	ˈɔ	0.187
ˈʏː	j	0.104
ˈʏː	ˈai̯	0.104
ˈʏː	ˈɛ	0.104
θ	d̥	1.0
