Danish	Limburgish	probability
ˈæ	ˈæː	0.449
ˈæˀ	ˈaː	1.0
ˈæː	ˈaː	1.0
ˈø	ˈɪː	0.5
ˈø	ˈʏ	0.5
ˈøː	ˈyː	0.304
ˈøː	ˈøː	0.291
ˈøː	ˈʊː	0.183
ˈøː	ˈɔː	0.116
ˈøː	ˈuː	0.106
ˈœ	ˈœi̯	0.22
ˈœ	ˈʊː	0.189
ˈœ	ˈʏ	0.145
ˈœ	ˈœ	0.128
ˈœ	ˈʊː_ʀ	0.111
ˈœ	ˈɔ	0.072
ˈœ	ˈøː	0.051
ˈœˀ	ˈɔː	0.368
ˈœˀ	ˈu	0.327
ˈœˀ	ˈøː	0.189
ˈœˀ	-	0.072
ˈœː	ˈɪ	1.0
ˈɑ	ˈaː	0.457
ˈɑ	ˈɑ	0.191
ˈɑ	ə	0.106
ˈɑ	ˈeː	0.098
ˈɑ	ˈʏː	0.076
ˈɑ	ˈi	0.071
ˈɑˀ	ˈæ	0.425
ˈɑˀ	ˈeː	0.244
ˈɑˀ	ˈaː	0.21
ˈɑˀ	ˈæː	0.121
ˈɑː	j	0.775
ˈɑː	ˈɒː	0.225
ˈɒ	ˈoː	1.0
ˈɒˀ	ˈɒː	1.0
ˈɒː	ˈɒː	1.0
ˈɔ	ˈʊː	0.747
ˈɔ	ˈʊ	0.18
ˈɔ	ˈɔ	0.055
ˈɔˀ	ˈʊː	0.364
ˈɔˀ	ˈi	0.26
ˈɔˀ	ˈɒː	0.227
ˈɔˀ	j	0.079
ˈɔˀ	ˈœː	0.07
ˈɔː	ˈɒː	1.0
ˈɛ	ˈæː	0.269
ˈɛ	ˈaː	0.207
ˈɛ	ˈɑ	0.189
ˈɛ	ˈiː	0.103
ˈɛ	ˈi	0.055
ˈɛˀ	ˈɛːi̯	0.326
ˈɛˀ	ˈeː	0.313
ˈɛˀ	ˈɑː	0.165
ˈɛˀ	ˈøː	0.121
ˈɛˀ	ˈɛi̯	0.074
ˈɛː	ˈœ	0.395
ˈɛː	ˈɒː	0.395
ˈɛː	ˈeː	0.211
ˈʌ	ˈɔu̯	0.163
ˈʌ	ˈoː	0.142
ˈʌ	ˈøː	0.142
ˈʌ	ˈɑː	0.142
ˈʌ	ˈɔ	0.142
ˈʌ	ˈɔː	0.095
ˈʌ	ˈaː	0.085
ˈʌˀ	ˈɔː	0.67
ˈʌˀ	ˈu	0.33
