Icelandic	Eastphalian	probability
ˈɛːi̯	ˈɔʏ̯	0.189
ˈɛːi̯	ˈɛ	0.113
ˈɪ	ˈɪ	0.413
ˈɪ	ˈiː	0.147
ˈɪ	ˈɛː	0.134
ˈɪ	ˈʏ	0.131
ˈɪ	ˈoː	0.083
ˈɪ	ˈɔ	0.051
ˈɪː	ˈɪ	0.385
ˈɪː	ˈiː	0.254
ˈɪː	ˈoː	0.15
ˈɪː	ˈeː	0.108
ˈɪː	ˈɛ	0.102
ˈʏ	ˈʏ	0.237
ˈʏ	ˈuː	0.228
ˈʏ	ˈœ	0.173
ˈʏ	ˈʊ	0.137
ˈʏ	v_ˈʊ	0.112
ˈʏ	ˈøː	0.072
ˈʏː	ˈyː	0.422
ˈʏː	ˈɔ	0.358
ˈʏː	ˈɛ	0.178
θ	d	0.97
