Latin	French	probability
s_t	t	1.0
s_ɛ	s	1.0
s_ˈaː	s	0.513
t	-	0.566
t	t	0.381
t_aː	t	0.263
t_ãː	t	0.74
t_ãː	a	0.201
t_oː	u	0.683
t_oː	i	0.231
t_ɛ	t	0.135
t_ʊ	ɛ	1.0
t_ˈoː	t	1.0
t_ˈuː	y	0.513
tʰ	-	1.0
u	-	0.338
u	u	0.338
uː	e	0.33
uː	-	0.206
uː	y	0.206
w	v	0.625
w	-	0.348
ŋ	ɛ̃	0.379
ŋ	ɔ̃	0.208
ŋ	ɑ̃	0.137
ŋ	œ	0.106
ŋ	ɲ	0.078
ŋ	-	0.074
ŋ_k	ɛ̃	0.457
ŋ_k	ɑ̃	0.151
ŋ_ɡʷ	ɑ̃	1.0
ɔ	ɔ	0.629
ɔ	ɔ̃	0.176
ɔ	-	0.116
ɔ	u	0.073
ɔ_r	ʁ	0.513
ɛ	-	0.727
ɛ	ə	0.139
ɛ	ɛ	0.051
ɛ_r	ʁ	0.513
ɛ̃	-	0.871
ɛ̃	a	0.082
ɛ̃ː	-	0.867
ɛ̃ː	a	0.068
ɡ	-	0.333
ɡ	ʒ	0.314
ɡ	ɡ	0.271
ɡ_ɪ	a	1.0
ɡʷ	ɡ	0.263
ɪ	-	0.762
ɪ	a	0.136
ɪ_k	a	0.513
ɪ_m	m	1.0
ɪ̃	-	0.513
ɫ	l	0.697
ɫ	-	0.242
ɫ	ʒ	0.059
ɫ_ãː	j	0.596
ɫ_ãː	l	0.362
ɫ_ʊ	j	1.0
ɫ_ʊ̃ː	l	0.603
ɫ_ʊ̃ː	j	0.367
ɫ_ˈa	l	1.0
ʊ	-	0.953
ʊ	i	0.056
ʊ_s	ø	0.699
ʊ_s	s	0.297
ʊ_ɫ	ø	0.538
ʊ_ɫ	u	0.422
ʊ̃ː	-	0.985
ˈa	a	0.386
ˈa	-	0.273
ˈa	ɛ	0.257
ˈa	e	0.071
ˈa_k	ɛ	0.758
ˈa_k	a	0.139
ˈa_n	ɑ̃	0.639
ˈa_n	a	0.194
ˈa_n	ɛ̃	0.138
ˈa_t	ɛ	0.683
ˈa_t	a	0.231
ˈa_ŋ	ɑ̃	1.0
ˈa_ɫ	o	1.0
ˈau̯	o	0.285
ˈau̯	ɔ	0.257
ˈau̯	ø	0.164
ˈau̯	w	0.111
ˈaː	ɛ	0.47
ˈaː	-	0.191
ˈaː	e	0.16
ˈaː	a	0.104
ˈaː_n	ɛ̃	1.0
ˈaː_r	e	1.0
ˈaː_s	e	0.513
ˈaː_t	e	0.683
ˈaː_t	ɛ	0.301
ˈe	j	0.513
ˈeː	w	0.672
ˈeː	-	0.109
ˈeː	a	0.109
ˈeː	ɛ̃	0.084
ˈeː_d	w	1.0
ˈeː_ɡ	w	0.513
ˈi	i	0.388
ˈi	-	0.199
ˈiː	i	0.767
ˈiː	-	0.087
ˈiː	e	0.057
ˈiː_k	i	0.779
ˈiː_k	w	0.14
ˈiː_k	e	0.077
ˈiː_n	ɛ̃	1.0
ˈĩː	i	0.263
ˈo	œ	0.574
ˈo	e	0.294
ˈoe̯	ɛ	0.513
ˈoː	œ	0.496
ˈoː	-	0.162
ˈoː	ɔ̃	0.102
ˈoː	ɛ	0.093
ˈoː	w	0.074
ˈoː	ɔ	0.061
ˈoː_d	ø	1.0
ˈoː_n	ɔ̃	1.0
ˈoː_s	u	0.513
ˈoː_t	u	0.513
ˈu	-	0.361
ˈu	œ	0.361
ˈu	ø	0.213
ˈuː	y	0.505
ˈuː	-	0.166
ˈuː	ɥ	0.109
ˈuː	ɛ	0.072
ˈuː	a	0.069
ˈuː	w	0.069
ˈuː_b	y	0.558
ˈuː_b	ɥ	0.437
ˈuː_k	ɥ	1.0
ˈuː_t	y	0.683
ˈuː_t	ɥ	0.231
ˈyː	i	1.0
ˈɔ	ɔ	0.413
ˈɔ	œ	0.303
ˈɔ	-	0.168
ˈɔ_k	j	0.474
ˈɔ_k	ɥ	0.328
ˈɔ_lʲ	u	1.0
ˈɔ_s	o	0.807
ˈɔ_s	ɔ	0.157
ˈɛ	ɛ	0.369
ˈɛ	i	0.245
ˈɛ	j	0.127
ˈɛ	ɑ̃	0.127
ˈɛ	-	0.073
ˈɛ_k	i	1.0
ˈɛ_lʲ	o	0.849
ˈɛ_lʲ	j	0.129
ˈɛ_n	ɑ̃	0.744
ˈɛ_n	j	0.128
ˈɛ_n	ɛ	0.09
ˈɛ_r	ɛ	1.0
ˈɛ_s	ɛ	1.0
ˈɛ_t	i	0.304
ˈɛ_t	ɛ	0.304
ˈɛ_t	j	0.271
ˈɛ̃ː	i	0.513
ˈɪ	ɛ	0.437
ˈɪ	w	0.271
ˈɪ	-	0.108
ˈɪ	ø	0.056
ˈɪ	ɑ̃	0.056
ˈɪ	i	0.056
ˈɪ_k	ɛ	0.461
ˈɪ_k	a	0.265
ˈɪ_k	s	0.265
ˈʊ	u	0.429
ˈʊ	w	0.186
ˈʊ	-	0.134
ˈʊ	ɥ	0.089
ˈʊ	ɔ	0.077
ˈʊ	y	0.056
ˈʊ_k	u	0.53
ˈʊ_k	w	0.312
ˈʊ_s	u	1.0
