Icelandic	Northern Low Saxon	probability
ˈi	ˈyː	0.051
ˈiː	ˈiː	0.425
ˈiː	ˈaɪ̯	0.174
ˈiː	ˈyː	0.117
ˈiː	ˈøː	0.087
ˈiː	-	0.071
ˈiː	ˈaʊ̯	0.065
ˈou̯	ˈɔʏ̯	0.551
ˈou̯	ˈœ	0.225
ˈou̯	ˈʊ	0.225
ˈoːu̯	-	0.501
ˈoːu̯	ˈaʊ̯	0.311
ˈoːu̯	ɐ	0.071
ˈoːu̯	ˈɪ	0.057
ˈu	ˈʊ	0.817
ˈu	ˈyː	0.113
ˈu	-	0.071
ˈuː	ˈuː	0.556
ˈuː	-	0.322
ˈuː	ˈyː	0.122
ˈœ	ˈoː	0.322
ˈœ	-	0.271
ˈœ	ˈa	0.205
ˈœ	ˈeː	0.136
ˈœ	ˈɪ	0.066
ˈœː	ə	0.367
ˈœː	ˈøː	0.347
ˈœː	ˈɔ	0.151
ˈœː	ˈaɪ̯	0.135
ˈœːy̯	ˈaʊ̯	0.748
ˈœːy̯	ˈoː	0.131
ˈœːy̯	ˈɔʏ̯	0.121
ˈɑu̯	ˈa	0.957
ˈɑːu̯	ˈoː	0.654
ˈɑːu̯	ˈaʊ̯	0.224
ˈɑːu̯	-	0.084
ˈɔ	ˈaʊ̯	0.444
ˈɔ	ˈuː	0.14
ˈɔ	ˈœ	0.122
ˈɔ	ˈɔ	0.113
ˈɔ	ˈɔː	0.099
ˈɔ	ˈoː	0.061
ˈɔu̯	ˈaʊ̯	0.392
ˈɔu̯	-	0.232
ˈɔu̯	ˈa	0.224
ˈɔu̯	ˈɔ	0.151
ˈɔː	ˈøː	0.704
ˈɔː	ˈoː	0.296
ˈɛ	ˈɪ	0.203
ˈɛ	ˈeː	0.177
ˈɛ	ˈɛ	0.165
ˈɛ	ˈaː	0.131
ˈɛ	ˈa	0.129
ˈɛ	ˈaɪ̯	0.09
ˈɛi̯	ˈaɪ̯	0.787
ˈɛi̯	ˈɛɪ̯	0.213
ˈɛː	ˈiː	0.249
ˈɛː	-	0.145
ˈɛː	ˈoː	0.144
ˈɛː	ˈɪ	0.143
ˈɛː	ˈeː	0.095
ˈɛː	ˈɛ	0.074
ˈɛː	ˈøː	0.055
ˈɛːi̯	ˈaɪ̯	0.44
ˈɛːi̯	ˈaʊ̯	0.239
ˈɛːi̯	ˈɔʏ̯	0.15
ˈɛːi̯	ˈɪ	0.087
ˈɛːi̯	-	0.084
ˈɪ	ˈɪ	0.485
ˈɪ	ˈʏ	0.196
ˈɪ	ˈiː	0.14
ˈɪ	ˈaʊ̯	0.093
ˈɪː	ˈeː	0.276
ˈɪː	ˈɪ	0.24
ˈɪː	ˈaɪ̯	0.209
ˈɪː	ˈiː	0.144
ˈɪː	ˈøː	0.131
ˈʏ	ˈʊ	0.318
ˈʏ	ˈʏ	0.15
ˈʏ	v_ˈʊ	0.141
ˈʏ	ˈuː	0.134
ˈʏ	ˈɔʏ̯	0.107
ˈʏ	ˈœː	0.079
ˈʏː	ˈyː	0.338
ˈʏː	ˈʊ	0.208
ˈʏː	ˈʏ	0.204
ˈʏː	ˈeː	0.117
ˈʏː	ˈaɪ̯	0.08
ˈʏː	ˈɔ	0.053
θ	d	0.956
