Icelandic	Ripuarian	probability
ˈau̯	ˈa	0.066
ˈaː	ˈa	0.543
ˈaː	ˈaː	0.366
ˈaː	ˈiː	0.052
ˈaːi̯	ˈøː	0.426
ˈaːi̯	ˈaː	0.23
ˈaːi̯	ˈoː	0.206
ˈaːi̯	ˈa	0.138
ˈaːu̯	ˈoː	0.557
ˈaːu̯	ˈiː	0.261
ˈaːu̯	ˈo	0.181
ˈeːi̯	ˈøː	1.0
ˈi	ˈɪ	0.759
ˈi	ˈʏ	0.139
ˈi	ˈe	0.102
ˈiː	ˈiː	0.305
ˈiː	ˈeɪ̯	0.122
ˈiː	ˈɔʏ̯	0.105
ˈiː	ˈoː	0.076
ˈiː	ˈʏ	0.073
ˈiː	ˈyː	0.07
ˈiː	ˈɪ	0.059
ˈiː	ˈaʊ̯	0.054
ˈou̯	ˈɔ	0.635
ˈou̯	ˈʏ	0.281
ˈou̯	ʋ	0.084
ˈoːu̯	-	0.561
ˈoːu̯	ˈoː	0.277
ˈoːu̯	ʀ	0.075
ˈoːu̯	ˈo	0.058
ˈu	ˈo	0.813
ˈu	ʋ	0.187
ˈuː	-	0.433
ˈuː	ˈuː	0.406
ˈuː	ˈaʊ̯	0.112
ˈœ	ˈa	0.789
ˈœ	ˈe	0.105
ˈœ	ˈɛː	0.105
ˈœː	ə	0.298
ˈœː	ˈɛ	0.297
ˈœː	ˈaʊ̯	0.263
ˈœː	ˈeː	0.141
ˈœːy̯	ˈaʊ̯	0.418
ˈœːy̯	ˈuː	0.397
ˈœːy̯	ˈoː	0.185
ˈɑu̯	ˈa	0.845
ˈɑu̯	ˈaː	0.155
ˈɑːu̯	ˈoː	0.382
ˈɑːu̯	ˈɔ	0.256
ˈɑːu̯	n	0.17
ˈɑːu̯	ˈuː	0.127
ˈɔ	ˈɔ	0.481
ˈɔ	ˈʊ	0.154
ˈɔ	ˈoː	0.144
ˈɔ	ʋ	0.123
ˈɔ	ʀ	0.099
ˈɔu̯	ˈoː	0.26
ˈɔu̯	ˈɔ	0.26
ˈɔu̯	-	0.242
ˈɔu̯	ˈaː	0.239
ˈɔː	ˈu	0.541
ˈɔː	ˈoː	0.459
ˈɛ	ˈɛː	0.292
ˈɛ	ˈɛ	0.269
ˈɛ	-	0.143
ˈɛ	ˈe	0.122
ˈɛ	ˈa	0.053
ˈɛ	ˈyː	0.053
ˈɛi̯	ˈeː	1.0
ˈɛː	-	0.393
ˈɛː	ˈaː	0.165
ˈɛː	ˈɛ	0.147
ˈɛː	ˈeː	0.135
ˈɛː	ˈɪ	0.096
ˈɛː	ˈɛː	0.057
ˈɛːi̯	ˈeː	0.423
ˈɛːi̯	ˈaː	0.287
ˈɛːi̯	ˈyː	0.155
ˈɛːi̯	ˈuː	0.077
ˈɛːi̯	ˈoʊ̯	0.058
ˈɪ	ˈœ	0.246
ˈɪ	ˈe	0.211
ˈɪ	ˈoː	0.163
ˈɪ	ˈa	0.125
ˈɪ	ˈɛ	0.076
ˈɪ	ˈɪ	0.071
ˈɪ	ˈiː	0.061
ˈɪː	ˈe	0.409
ˈɪː	ˈyː	0.304
ˈɪː	ˈɛ	0.106
ˈɪː	ˈɛː	0.106
ˈɪː	ˈɪ	0.074
ˈʏ	ˈo	0.262
ˈʏ	ˈœ	0.246
ˈʏ	ˈɔ	0.243
ˈʏ	ˈyː	0.165
ˈʏː	ˈu	0.496
ˈʏː	ˈeː	0.213
ˈʏː	ˈɛː	0.136
ˈʏː	ˈɔ	0.078
ˈʏː	ˈyː	0.077
θ	d	1.0
