Latin	Portuguese	probability
ˈoː	-	0.051
ˈoː_n	ˈɐ̃	0.562
ˈoː_n	ˈõ	0.416
ˈu	ˈo	0.435
ˈu	ˈu	0.33
ˈu	ˈɔ	0.162
ˈuː	ˈu	0.783
ˈuː	-	0.084
ˈuː_k	ˈu	1.0
ˈuː_n	ˈũ	0.492
ˈyː	ˈi	1.0
ˈɔ	ˈo	0.463
ˈɔ	ˈɔ	0.334
ˈɔ	u	0.167
ˈɔ_k	ˈo	1.0
ˈɔ_n	ˈo	0.57
ˈɔ_n	ˈõ	0.274
ˈɛ	ˈɛ	0.534
ˈɛ	ˈe	0.182
ˈɛ	ˈɐ	0.157
ˈɛ	-	0.078
ˈɛ_k	ˈɐ	1.0
ˈɛ_lʲ	ˈɛ	1.0
ˈɛ_n	ˈẽ	1.0
ˈɛ̃ː	j̃	0.242
ˈɪ	ˈe	0.41
ˈɪ	ˈɐ	0.233
ˈɪ	ˈɛ	0.116
ˈɪ	-	0.069
ˈʊ	ˈo	0.482
ˈʊ	ˈu	0.262
ˈʊ	ˈõ	0.088
ˈʊ	ˈɔ	0.061
