American English	Icelandic	probability
ɡ	ɡ̊ː	0.129
ɪ	i	0.574
ɪ	ɪ	0.268
ɫ	l	0.527
ɫ	t_l̥	0.212
ɫ	l̥	0.161
ɫ	l̥_ʏ	0.085
ɹ	r	0.832
ɹ	r̥	0.089
ɹ	r_t	0.053
ɹ	-	0.029
ɾ	r	0.354
ɾ	ʰt	0.165
ʃ	s_k	0.519
ʃ	s_c	0.451
ʤ	ɟ̊ː	0.5
ʤ	ɡ̊ː	0.5
ʧ	cʰ	0.594
ʧ	c	0.297
ʧ	k	0.059
ˈaɪ̯	ˈiː	0.452
ˈaɪ̯	ˈɪ	0.086
ˈaɪ̯	j_ˈɛ	0.075
ˈaɪ̯	ˈuː	0.075
ˈaɪ̯	ˈʏː	0.075
ˈaɪ̯	j	0.057
ˈaɪ̯	ˈɑu̯	0.057
ˈaɪ̯	ˈɔu̯	0.057
ˈaɪ̯	ˈɑːu̯	0.046
ˈaʊ̯	ˈuː	0.481
ˈaʊ̯	ˈʏ	0.224
ˈaʊ̯	ˈʏ_ɡ̊	0.148
ˈaʊ̯	ˈiː_r̥	0.129
ˈeɪ̯	ˈaː	0.412
ˈeɪ̯	ˈɑu̯	0.108
ˈeɪ̯	ˈa	0.098
ˈeɪ̯	ˈaːu̯	0.08
ˈeɪ̯	ˈœ	0.08
ˈeɪ̯	ˈɛ	0.077
ˈeɪ̯	ˈɛː	0.044
ˈeɪ̯	ˈɛːi̯	0.04
ˈi	ˈɑːu̯	0.118
ˈi	j_ˈoːu̯	0.105
ˈi	ˈœːy̯	0.102
ˈi	ˈiː	0.089
ˈi	-	0.086
ˈi	j_ˈɛː	0.084
ˈi	ˈaːi̯	0.059
ˈi	ˈɛː	0.059
ˈi	ˈɛːi̯_r	0.041
ˈi	ˈa	0.034
ˈi	ˈaː	0.034
ˈi	ˈoːu̯	0.034
ˈi	ˈai̯	0.032
ˈi	ˈeːi̯	0.031
ˈi	ˈɛːi̯	0.031
ˈi	ˈɪː	0.031
ˈi	ˈuː	0.028
ˈoʊ̯	ˈɛːi̯	0.152
ˈoʊ̯	ˈou̯	0.097
ˈoʊ̯	ˈɑːu̯	0.097
ˈoʊ̯	ˈɛː	0.097
ˈoʊ̯	ˈʏ	0.097
ˈoʊ̯	j	0.073
ˈoʊ̯	ˈa	0.073
ˈoʊ̯	ˈɛi̯	0.073
ˈoʊ̯	ˈɛ	0.055
ˈoʊ̯	ˈi	0.052
ˈoʊ̯	ˈeːi̯	0.039
ˈoʊ̯	ˈaːu̯	0.029
ˈu	ˈoːu̯	0.245
ˈu	ˈɑːu̯	0.141
ˈu	ˈɔu̯	0.141
ˈu	ˈaːi̯	0.097
ˈu	ˈiː	0.097
ˈu	ˈœː	0.094
ˈu	ˈœ	0.063
ˈu	u	0.045
ˈæ	ˈa	0.321
ˈæ	ˈaː	0.273
ˈæ	ˈɛ	0.176
ˈæ	ˈœ	0.101
ˈæ	ˈɑu̯	0.073
ˈæ	ˈaːi̯	0.031
ˈɑ	ˈa	0.427
ˈɑ	ˈaː	0.097
ˈɑ	ˈɑu̯	0.097
ˈɑ	ˈɔu̯	0.097
ˈɑ	ˈɛːi̯	0.097
ˈɑ	ˈɪ	0.097
ˈɑ	ˈʏː	0.069
ˈɔ	ˈɔ	0.396
ˈɔ	ˈɛ	0.194
ˈɔ	ˈa	0.129
ˈɔ	ˈɪ	0.128
ˈɔ	ˈoːu̯	0.088
ˈɛ	ˈɛ	0.161
ˈɛ	j	0.156
ˈɛ	ˈœːy̯	0.132
ˈɛ	ˈɛː	0.122
ˈɛ	-	0.079
ˈɛ	ˈœː	0.079
ˈɛ	u	0.052
ˈɛ	ˈœy̯	0.042
ˈɛ	ˈɔ	0.042
ˈɛ	ˈaːi̯	0.038
ˈɛ	ˈɑːu̯	0.037
ˈɛ	ˈai̯	0.036
ˈɛ	ɛ	0.035
ˈɝ	r	0.488
ˈɝ	ˈɪ	0.322
ˈɝ	ˈœ	0.101
ˈɪ	ˈɪ	0.237
ˈɪ	ˈɪː	0.172
ˈɪ	ˈi	0.141
ˈɪ	ˈiː	0.107
ˈɪ	ˈɛ	0.069
ˈɪ	ˈu	0.052
ˈɪ	ˈɔu̯	0.052
ˈɪ	ˈʏ	0.052
ˈɪ	j	0.044
ˈɪ	ˈou̯	0.038
ˈɪ	-	0.03
ˈʊ	ˈoːu̯	0.484
ˈʊ	ˈʏ_t	0.138
ˈʊ	ˈu	0.13
ˈʊ	ˈʏ	0.13
ˈʌ	ˈoːu̯	0.248
ˈʌ	ˈu	0.156
ˈʌ	-	0.09
ˈʌ	ˈaː	0.09
ˈʌ	ˈɔ	0.089
ˈʌ	ˈa	0.069
ˈʌ	ˈɛi̯	0.066
ˈʌ	ˈʏː	0.066
ˈʌ	ˈɔː	0.05
ˈʌ	ˈʏ	0.038
θ	θ	0.593
θ	nː	0.139
θ	ð_ʏ	0.139
θ	ð	0.09
