Icelandic	Scots	probability
ˈɑːu̯	ˈø	0.211
ˈɑːu̯	ˈe	0.143
ˈɑːu̯	-	0.137
ˈɑːu̯	ˈɛ	0.137
ˈɑːu̯	ˈɑː	0.093
ˈɔ	ˈɔ	0.611
ˈɔ	w	0.157
ˈɔ	ˈʌ	0.099
ˈɔ	ˈɑ	0.096
ˈɔu̯	ˈɪ	0.561
ˈɔu̯	ˈø	0.182
ˈɔu̯	ˈɔ	0.111
ˈɔː	ˈɔ	0.324
ˈɔː	ˈiː	0.324
ˈɛ	ˈɪ	0.26
ˈɛ	ˈe	0.151
ˈɛ	ˈɑ	0.151
ˈɛ	-	0.132
ˈɛ	ˈɛ	0.091
ˈɛi̯	ˈe	1.0
ˈɛː	ˈɛ	0.186
ˈɛː	ˈəi̯	0.158
ˈɛː	ˈe	0.158
ˈɛː	ˈi	0.158
ˈɛː	-	0.114
ˈɛːi̯	ˈe	0.412
ˈɛːi̯	ˈei̯	0.266
ˈɛːi̯	ˈiː	0.153
ˈɛːi̯	ˈeː	0.153
ˈɪ	ˈɪ	0.562
ˈɪ	ˈɔ	0.214
ˈɪ	ˈe	0.068
ˈɪ	ˈəi̯	0.065
ˈɪ	ˈaːɪ̯	0.065
ˈɪː	ˈɪ	0.768
ˈɪː	ˈiː	0.174
ˈʏ	ˈʉ	0.496
ˈʏ	ˈɪ	0.126
ˈʏ	r	0.126
ˈʏ	ˈʌ	0.122
ˈʏ	ˈʌʉ̯	0.058
ˈʏ_ɡ̊	ˈʉ	1.0
ˈʏː	ˈɛ	0.257
ˈʏː	j	0.166
ˈʏː	ˈəi̯	0.157
ˈʏː	ˈʌ	0.157
ˈʏː	ˈɔ	0.096
θ	θ	0.802
θ	ð	0.088
θ	d	0.088
