Latin	Catalan	probability
r	r	0.231
r_s	s	1.0
r_t	r	1.0
r_ɛ	r	0.66
r_ɛ	ɾ	0.177
r_ʊ̃ː	r	1.0
s	s	0.769
s	-	0.19
s_k	ʃ	1.0
s_ɛ	ˈe	0.393
s_ɛ	s	0.106
t	t	0.49
t	-	0.286
t	ð	0.206
t_i	ˈɛ	0.269
t_r	ɾ	1.0
t_ɛ	t	0.269
t_ɛ̃	t	0.518
t_ɛ̃ː	t	0.862
t_ɛ̃ː	w	0.124
t_ʊ̃ː	t	1.0
tʰ	z	1.0
u	-	0.342
u	ˈo	0.342
uː	-	0.415
uː	ˈu	0.315
uː	u	0.203
w	b	0.728
w	β	0.133
w	-	0.09
w_ɛ̃ː	w	1.0
w_ʊ̃ː	w	1.0
ŋ	ŋ	0.641
ŋ	ɲ	0.208
ŋ	n	0.075
ŋ	-	0.074
ŋ_k	n	1.0
ŋ_n	ɲ	1.0
ɔ	u	0.649
ɔ	-	0.203
ɔ	ˈɔ	0.079
ɔ	w	0.069
ɛ	-	0.698
ɛ	ə	0.238
ɛ_p	ə	0.518
ɛ_r	ə	0.457
ɛ_r	ɾ	0.398
ɛ_r	ˈi	0.107
ɛ̃	w	0.425
ɛ̃	-	0.253
ɛ̃	j	0.151
ɛ̃ː	-	0.757
ɛ̃ː	ə	0.168
ɛ̃ː	w	0.053
ɡ	ɡ	0.365
ɡ	-	0.293
ɡ	ʒ	0.261
ɡ	ɣ	0.057
ɡ_n	ɲ	0.594
ɡ_n	n	0.392
ɡʷ	-	0.53
ɡʷ	ɡ	0.461
ɪ	-	0.373
ɪ	ə	0.286
ɪ	u	0.154
ɪ	i	0.064
ɪ	ˈe	0.056
ɪ_d	t	0.269
ɪ_k	ə	1.0
ɪ̃	-	0.518
ɫ	l	0.731
ɫ	ʎ	0.264
ɫ_ʊ	ʎ	0.518
ɫ_ʊ̃ː	ʎ	1.0
ʊ	-	0.856
ʊ	u	0.089
ʊ	w	0.063
ʊ_ɫ	ʎ	1.0
ʊ̃ː	-	0.879
ʊ̃ː	ə	0.103
ˈa	ˈa	0.941
ˈa_k	ˈe	1.0
ˈae̯	ˈe	0.342
ˈae̯	ˈɛ	0.177
ˈau̯	ˈɔ	1.0
ˈaː	ˈa	0.906
ˈaː	-	0.064
ˈe	ˈe	0.269
ˈeː	ˈɛ	0.563
ˈeː	ˈe	0.135
ˈeː	ˈɛ_w	0.111
ˈeː	ə	0.086
ˈeː	ɾ_ˈe	0.082
ˈi	ˈi	1.0
ˈiː	ˈi	0.86
ˈiː_r	ˈi	1.0
ˈĩː	ˈi	0.518
ˈo	ˈɔ	0.66
ˈo	w	0.177
ˈoe̯	ˈɛ	1.0
ˈoː	ˈɔ	0.38
ˈoː	ˈo	0.279
ˈoː	ˈɛ	0.153
ˈoː	-	0.116
ˈoː	ˈu	0.063
ˈoː_n	ˈo	1.0
ˈoː_r	ˈo	0.815
ˈoː_r	ˈɔ	0.156
ˈu	ˈo	0.562
ˈu	ˈu	0.416
ˈuː	ˈu	0.949
ˈuː	ˈo	0.052
ˈuː_n	ˈu	1.0
ˈuː_r	ˈu	1.0
ˈyː	ˈi	0.139
ˈɔ	ˈɔ	0.847
ˈɔ	ˈu	0.122
ˈɔ_k	ˈu	0.667
ˈɔ_k	ˈi	0.333
ˈɛ	ˈe	0.575
ˈɛ	ˈɛ	0.22
ˈɛ	ˈi	0.094
ˈɛ	ɾ_ˈe	0.061
ˈɛ_k	ˈi	0.667
ˈɛ_k	ˈɛ	0.333
ˈɛ_lʲ	ˈe	0.139
ˈɛ_r	ˈɛ	0.518
ˈɛ_ɡ	ʒ	0.518
ˈɛ̃ː	ˈi	0.518
ˈɪ	ˈɛ	0.422
ˈɪ	ˈe	0.38
ˈɪ	-	0.087
ˈɪ	ˈa	0.052
ˈɪ	ˈo	0.052
ˈɪ_k	ˈɛ	0.82
ˈɪ_k	s	0.179
ˈʊ	ˈo	0.457
ˈʊ	ˈu	0.209
ˈʊ	ˈɔ	0.164
ˈʊ	ə	0.07
ˈʊ	ˈɛ	0.07
ˈʊ_k	ˈo	1.0
ˈʊ_t	ˈo	1.0
