Faroese	North Frisian	probability
ʤ̊	n	0.075
ʤ̊	t	0.056
ʧ	k	0.374
ʧ	ɡ	0.185
ʧʰ	ʃ	0.375
ʧʰ	t	0.284
ʧʰ	f	0.175
ʧʰ	tʲ	0.066
ʧː	w	0.244
ʰk	k	0.244
ʰkː	ŋ_k	0.396
ʰkː	k	0.084
ʰp	v	0.45
ʰp	b	0.222
ʰp	p	0.126
ʰt	d	0.447
ʰt	z	0.158
ʰt	t	0.158
ʰt	tʲ	0.103
ʰtː	x	1.0
ˈa	ˈœ	0.232
ˈa	ˈa	0.207
ˈa	ˈɒ	0.18
ˈa	ˈʊ	0.072
ˈa	ˈɔu̯	0.065
ˈai̯	ˈɒ	0.398
ˈai̯	ˈiː	0.347
ˈai̯	ˈi	0.229
ˈaːi̯	ˈiː	1.0
ˈeə̯	ˈɛː	1.0
ˈeː	ˈeː	0.336
ˈeː	ˈɛː	0.286
ˈeː	ˈɛi̯	0.217
ˈeː	ˈɒː	0.091
ˈiː	ˈaː	0.284
ˈiː	ˈa	0.161
ˈiː	ˈɔu̯	0.152
ˈiː	ˈeː	0.122
ˈiː	ˈi	0.122
ˈoː	ˈɔ	0.66
ˈoː	ˈɛi̯	0.161
ˈuː	ˈiː	0.361
ˈuː	ˈɔː	0.137
ˈuː	ˈøː	0.126
ˈuː	ˈœ	0.126
ˈøː	ˈɛ	0.375
ˈøː	ˈa	0.161
ˈøː	ˈɛi̯	0.152
ˈøː	ˈɛː	0.094
ˈøː	ˈɔː	0.061
ˈœ	ˈɔː	0.45
ˈœ	ˈeː	0.28
ˈœ	-	0.089
ˈœ	ˈɔ	0.072
ˈœ	ˈœ	0.068
ˈɔ	ˈɔ	0.273
ˈɔ	ˈœ	0.113
ˈɔ	ˈɒ	0.099
ˈɔ	ˈɔu̯	0.078
ˈɔ	ˈi	0.078
ˈɔːi̯	ˈiː	0.758
ˈɔːi̯	ˈuː	0.183
ˈɔːu̯	ˈiː	0.524
ˈɔːu̯	ˈœ	0.312
ˈɔːu̯	ˈɔu̯	0.133
ˈɔ̯aː	ˈuː	0.292
ˈɔ̯aː	ˈyː	0.173
ˈɔ̯aː	ˈiː	0.173
ˈɔ̯aː	ˈeː	0.114
ˈɔ̯aː	ˈɔu̯	0.083
ˈɛ	ˈa	0.219
ˈɛ	ˈiː	0.191
ˈɛ	ˈi	0.145
ˈɛ	ˈɔi̯	0.11
ˈɛ	ˈeː	0.086
ˈɛːa̯	ˈeː	0.221
ˈɛːa̯	ˈɒː	0.174
ˈɛːa̯	ˈɒ	0.151
ˈɛːa̯	ˈɛi̯	0.1
ˈɛːa̯	ˈiː	0.088
ˈɛːi̯	ˈuː	0.402
ˈɛːi̯	ˈyː	0.35
ˈɛːi̯	ˈɛː	0.137
ˈɛːi̯	ˈɔu̯	0.094
ˈɪ	ˈʊ	0.209
ˈɪ	ˈa	0.167
ˈɪ	ˈi	0.146
ˈɪ	ˈʏ	0.109
ˈɪ	ˈœ	0.079
ˈʉːu̯	ˈyː	0.822
ˈʉːu̯	ˈiː	0.104
ˈʉːu̯	ˈuː	0.055
ˈʊ	ˈʊ	0.347
ˈʊ	ˈyː	0.165
ˈʊ	ˈøː	0.115
ˈʊ	ˈiː	0.093
ˈʊ	ˈɔː	0.076
ˈʊ_ɡ̊	ˈøː	1.0
ˈʊ̯iː	ˈi	0.495
ˈʊ̯iː	ˈiː	0.388
ˈʊ̯iː	ˈyː	0.064
ˈʊ̯iː	ˈøː	0.053
ˈʏ	ˈiː	0.401
ˈʏ	ˈʊ	0.262
ˈʏ	ˈʏ	0.129
