Limburgish	Icelandic	probability
ˈɛi̯	ˈiː	0.468
ˈɛː	ˈɛːi̯	0.274
ˈɛː	ˈɛi̯	0.187
ˈɛː	ˈeːi̯	0.123
ˈɛː	ˈɛ	0.123
ˈɛː	ˈɔu̯	0.089
ˈɛːi̯	ˈɛːi̯	0.407
ˈɛːi̯	ˈɛ	0.089
ˈɪ	ˈa	0.202
ˈɪ	ˈʏ	0.202
ˈɪ	ˈiː	0.13
ˈɪ	ˈɪ	0.13
ˈɪ	ˈɪː	0.125
ˈɪː	ˈi	0.282
ˈɪː	ˈɪ	0.254
ˈɪː	ˈɛ	0.104
ˈɪː	ˈai̯	0.101
ˈɪː	ˈiː	0.098
ˈʊ	ˈu	1.0
ˈʊː	ˈɔ	0.231
ˈʊː	ˈoːu̯	0.213
ˈʊː	ˈʏ	0.165
ˈʊː	ˈu	0.149
ˈʊː	ˈaːu̯	0.066
ˈʏ	ˈʏ	1.0
ˈʏː	ˈɪ	0.425
ˈʏː	ˈai̯	0.229
ˈʏː	ˈɔ	0.123
β	v	0.533
β	-	0.202
β	kʰ_v	0.19
β	ç	0.056
