Danish	Swiss German	probability
ʦʰ	d̥	0.564
ˈa	ˈæ	0.064
ˈa	ˈɒː	0.144
ˈu	ˈø	0.34
ˈuː	ˈu	0.334
ˈœˀ	ˈyə̯	0.284
ˈɑ	ˈiː	0.054
ˈɑˀ	ˈæi̯	0.364
ˈɒˀ	ˈuə̯	0.54
ˈɛ	ˈæ	0.344
ˈʌ	ˈuə̯	0.144
j	-	0.125
j	h	0.265
k	-	0.535
lˀ	r	0.105
n	n	0.825
ŋ	ŋ	0.545
ʋ	ʋ	0.925
ˈe	ˈæ	0.255
ˈeˀ	ˈæi̯	0.495
ˈiˀ	ˈiː	0.585
ˈoː	ˈo	0.095
ˈuː	ˈuː	0.355
ˈæ	ˈe	0.315
ˈøˀ	ˈoː	0.5
ˈøˀ	ˈyə̯	0.5
ˈœ	ˈu	0.165
ˈɒː	ˈo	0.5
ˈɒː	ˈɒː	0.5
ˈɛ	ˈɒː	0.075
ˈɛˀ	ˈæ	0.165
ˈɛː	ˈɒ	0.105
ˈɶ	ˈo	0.5
ˈɶ	ˈu	0.5
ˈʌˀ	ˈoː	0.055
ˈʌˀ	ˈau̯	0.945
d̥	t	0.966
j	ɡ̊	0.256
mˀ	m	0.336
n	-	0.106
t	ʦ	0.26
ð̞ˠ	-	0.216
ð̞ˠ	sː	0.46
ŋ	i	0.116
ʌ	r	0.216
ˈeˀ	ˈeː	0.06
ˈeˀ	ˈe	0.066
ˈeˀ	ˈyː	0.096
ˈeˀ	ˈi	0.096
ˈeˀ	ə	0.106
ˈiˀ	ˈyː	0.066
ˈiː	ˈiə̯	0.076
ˈiː	ˈæː	0.136
ˈo	ˈyə̯	0.186
ˈoˀ	ˈøi̯	0.06
ˈoˀ	ˈuː	0.06
ˈy	ˈu	0.296
ˈyˀ	ˈøi̯	0.066
ˈyˀ	ˈiə̯	0.626
ˈæ	ˈɒ	0.266
ˈɑ	ˈy	0.106
ˈɔˀ	ˈɒ	0.06
ˈɔˀ	ˈu	0.086
ˈɛː	ˈæ	0.516
ˈʌ	ˈo	0.096
ˈʌ	ˈoː	0.096
ˈʌ	ˈøː	0.096
ˈʌ	ˈu	0.136
b̥	fː	0.067
j	χ	0.157
k	kː	0.107
m	mː	0.07
m	r_m	0.097
nˀ	n	0.597
ŋ	ɡ̊	0.117
ɐ	r	0.97
ə	-	0.307
ʌ	d̥_ə	0.387
ʌ	ə	0.397
ʦʰ	t	0.097
ˈoˀ	ˈæ	0.087
ˈuˀ	ˈyː	0.087
ˈuˀ	ˈæ	0.127
ˈøː	ˈuə̯	0.17
ˈœ	ˈo	0.057
ˈœ	ˈø	0.057
ˈœ	ˈøi̯	0.147
ˈɑ	ˈæ	0.197
ˈɔ	ˈuː	0.237
ˈɛ	ˈɒ	0.147
ˈɛˀ	ˈiə̯	0.317
b̥	f	0.058
l	l	0.858
nˀ	ŋ	0.258
p	p͡f	0.418
ˈi	ˈyː	0.18
ˈiˀ	ˈi	0.118
ˈu	ˈu	0.258
ˈuˀ	ˈuː	0.648
ˈyˀ	ˈyː	0.268
ˈyː	ˈiː	0.268
ˈæ	-	0.418
ˈøː	ˈøː	0.298
ˈœˀ	ˈoː	0.28
ˈœˀ	ˈau̯	0.338
ˈɑ	ˈæi̯	0.08
ˈɛ	ˈiə̯	0.058
ˈɛ	ˈæː	0.088
ˈɛˀ	ˈau̯	0.18
ˈɛˀ	ˈyː	0.338
e	i	0.329
h	h	0.939
jˀ	ə	0.399
k	k	0.149
w	-	0.209
ʁ	r	0.949
ˈeː	ˈeː	0.659
ˈoː	ˈɒ	0.309
ˈuˀ	ˈo	0.09
ˈuː	ˈoː	0.269
ˈø	ˈy	0.579
ˈøː	ˈyə̯	0.199
ˈœ	ˈyə̯	0.109
ˈœˀ	ˈu	0.069
ˈɑ	ˈi	0.319
ˈɑˀ	ˈɒː	0.239
ˈɑː	ˈɒː	0.229
ˈɒ	ˈyː	0.329
ˈɔː	ˈo	0.329
ˈɛ	ˈe	0.069
ˈɛː	ˈɒː	0.379
ˈʌ	ˈɒ	0.119
