 	Labels	Aragonese	Aromanian	Asturian	Auvergnat	Bellunese	Brazilian Portuguese	Campidanese	Catalan	Corsican	Eastern Lombard	Emilian	Franco-Provençal	French	Friulian	Galician	Gallurese	Gascon	Italian	Ladin	Latin	Lengadocian	Ligurian	Logudorese	Megleno-Romanian	Neapolitan	Nuorese	Old French	Piedmontese	Portuguese	Provençal	Québécois French	Romagnol	Romanian	Romansch	Sassarese	Sicilian	Spanish	Valencian	Venetian	Walloon	Western Lombard
 	Emilian	0.36021	0.41279	0.36099	0.38751	0.28828	0.39331	0.37358	0.35017	0.32516	0.30102	0.00000	0.42996	0.43518	0.33469	0.34294	0.34265	0.35755	0.31724	0.33237	0.35103	0.35158	0.32822	0.38108	0.40418	0.34979	0.37525	0.34040	0.30058	0.36440	0.35156	0.44524	0.29114	0.36799	0.35003	0.34861	0.33826	0.35773	0.34042	0.29360	0.42535	0.31001
 	Franco-Provençal	0.42591	0.49362	0.44580	0.35818	0.43821	0.40772	0.46467	0.39446	0.43234	0.41636	0.42996	0.00000	0.30868	0.40807	0.42493	0.45863	0.41539	0.41217	0.40653	0.45778	0.36652	0.42262	0.45243	0.50226	0.44843	0.44618	0.35256	0.38946	0.40741	0.36817	0.31597	0.40610	0.46876	0.43525	0.42857	0.43153	0.42998	0.38654	0.39912	0.36398	0.40709
 	French	0.43214	0.48452	0.46044	0.37634	0.42473	0.41802	0.46585	0.39490	0.44972	0.43137	0.43518	0.30868	0.00000	0.40496	0.42434	0.44285	0.41177	0.42913	0.39832	0.44390	0.37460	0.42732	0.44466	0.47987	0.43929	0.44333	0.32515	0.37980	0.40955	0.37512	0.21104	0.40575	0.45969	0.41395	0.44549	0.44231	0.45254	0.36925	0.40671	0.31042	0.39650
 	Friulian	0.36236	0.40933	0.37397	0.38531	0.33231	0.41040	0.39648	0.33871	0.34412	0.32577	0.33469	0.40807	0.40496	0.00000	0.37000	0.36940	0.35653	0.33837	0.31099	0.36584	0.34368	0.35372	0.38226	0.40121	0.36125	0.38465	0.36121	0.31953	0.39288	0.35507	0.44720	0.34213	0.37738	0.34531	0.36111	0.37994	0.36820	0.34369	0.33734	0.41871	0.34611
 	Galician	0.30563	0.41032	0.29567	0.38538	0.34183	0.30627	0.36431	0.32907	0.34311	0.36013	0.34294	0.42493	0.42434	0.37000	0.00000	0.34596	0.35035	0.33932	0.36144	0.35794	0.33491	0.35295	0.34208	0.42208	0.36481	0.34758	0.36243	0.34935	0.26981	0.36407	0.46501	0.35391	0.38995	0.35518	0.35512	0.34225	0.29275	0.32774	0.33237	0.44781	0.36876
 	Gallurese	0.37041	0.40761	0.37214	0.39460	0.34554	0.38117	0.34314	0.35193	0.28350	0.34409	0.34265	0.45863	0.44285	0.36940	0.34596	0.00000	0.37307	0.30782	0.36496	0.34908	0.35363	0.35069	0.33679	0.41178	0.32588	0.34151	0.40001	0.34670	0.37398	0.37333	0.46971	0.34608	0.37944	0.39582	0.27478	0.32730	0.35765	0.36130	0.33150	0.45489	0.36717
 	Gascon	0.35084	0.42419	0.36782	0.33334	0.36887	0.38151	0.38630	0.29618	0.36392	0.36388	0.35755	0.41539	0.41177	0.35653	0.35035	0.37307	0.00000	0.36889	0.35230	0.37932	0.28130	0.37147	0.37676	0.40873	0.38189	0.39466	0.34657	0.33502	0.36663	0.31513	0.42766	0.36679	0.40604	0.35771	0.37418	0.38024	0.37187	0.30134	0.36453	0.43157	0.37251
 	Italian	0.34385	0.37022	0.35014	0.38840	0.31549	0.36000	0.34312	0.34417	0.27525	0.33201	0.31724	0.41217	0.42913	0.33837	0.33932	0.30782	0.36889	0.00000	0.34087	0.31461	0.35056	0.32620	0.33913	0.38391	0.29465	0.32751	0.37107	0.32258	0.35134	0.36408	0.45989	0.32370	0.35279	0.36050	0.31264	0.30767	0.35091	0.34713	0.30137	0.44403	0.34485
 	Ladin	0.37372	0.39818	0.38627	0.37313	0.33093	0.41517	0.39714	0.33187	0.34189	0.33179	0.33237	0.40653	0.39832	0.31099	0.36144	0.36496	0.35230	0.34087	0.00000	0.36122	0.33463	0.34423	0.38824	0.42357	0.35882	0.39598	0.33933	0.32018	0.39532	0.34743	0.43343	0.34005	0.38431	0.31723	0.37261	0.37507	0.37748	0.33694	0.32866	0.41421	0.34027
 	Latin	0.36042	0.35355	0.35035	0.40621	0.34118	0.37892	0.35511	0.36271	0.32314	0.35079	0.35103	0.45778	0.44390	0.36584	0.35794	0.34908	0.37932	0.31461	0.36122	0.00000	0.38149	0.38938	0.33985	0.38431	0.35817	0.34592	0.40122	0.37663	0.38241	0.40563	0.49945	0.37842	0.34495	0.37471	0.36850	0.35385	0.36359	0.37084	0.35034	0.49314	0.39508
 	Lengadocian	0.32570	0.41681	0.35136	0.29924	0.35238	0.37309	0.36565	0.27816	0.34642	0.34345	0.35158	0.36652	0.37460	0.34368	0.33491	0.35363	0.28130	0.35056	0.33463	0.38149	0.00000	0.35576	0.36529	0.40826	0.36430	0.36489	0.32718	0.32457	0.36148	0.28346	0.39640	0.34240	0.38539	0.33838	0.35740	0.36946	0.35260	0.28067	0.35743	0.39271	0.33872
 	Ligurian	0.38170	0.41615	0.37872	0.38094	0.32919	0.37450	0.37335	0.35693	0.32438	0.33747	0.32822	0.42262	0.42732	0.35372	0.35295	0.35069	0.37147	0.32620	0.34423	0.38938	0.35576	0.00000	0.38091	0.41677	0.35625	0.36596	0.37456	0.31270	0.36246	0.35678	0.45472	0.34401	0.39873	0.36527	0.34150	0.34722	0.36933	0.36527	0.30644	0.43352	0.33341
 	Logudorese	0.36447	0.40525	0.35457	0.41548	0.38088	0.39692	0.29280	0.36274	0.34253	0.38578	0.38108	0.45243	0.44466	0.38226	0.34208	0.33679	0.37676	0.33913	0.38824	0.33985	0.36529	0.38091	0.00000	0.42092	0.36448	0.26721	0.39565	0.37360	0.37791	0.39976	0.48217	0.40573	0.38765	0.39305	0.33823	0.35194	0.36698	0.36681	0.36763	0.45871	0.41459
 	Megleno-Romanian	0.40612	0.29013	0.42793	0.45066	0.39585	0.45193	0.42474	0.39657	0.40204	0.41978	0.40418	0.50226	0.47987	0.40121	0.42208	0.41178	0.40873	0.38391	0.42357	0.38431	0.40826	0.41677	0.42092	0.00000	0.42371	0.40868	0.43885	0.40725	0.44076	0.42368	0.49556	0.41156	0.28820	0.43699	0.42272	0.42969	0.43091	0.39420	0.41412	0.53081	0.44940
 	Neapolitan	0.36275	0.41980	0.36539	0.40537	0.34409	0.39736	0.37487	0.36120	0.30071	0.34831	0.34979	0.44843	0.43929	0.36125	0.36481	0.32588	0.38189	0.29465	0.35882	0.35817	0.36430	0.35625	0.36448	0.42371	0.00000	0.35589	0.40816	0.34129	0.38936	0.38496	0.46704	0.35806	0.39536	0.39740	0.32891	0.28835	0.35881	0.37599	0.33629	0.46754	0.36582
 	Nuorese	0.35022	0.37840	0.35783	0.41519	0.37053	0.40652	0.29143	0.36768	0.33952	0.37940	0.37525	0.44618	0.44333	0.38465	0.34758	0.34151	0.39466	0.32751	0.39598	0.34592	0.36489	0.36596	0.26721	0.40868	0.35589	0.00000	0.39630	0.37925	0.38581	0.41167	0.48529	0.38757	0.36685	0.39407	0.34595	0.34365	0.36418	0.37826	0.36212	0.46100	0.41030
 	Old French	0.36230	0.43584	0.37441	0.33900	0.35626	0.39637	0.39607	0.33787	0.38110	0.37873	0.34040	0.35256	0.32515	0.36121	0.36243	0.40001	0.34657	0.37107	0.33933	0.40122	0.32718	0.37456	0.39565	0.43885	0.40816	0.39630	0.00000	0.33070	0.38788	0.33378	0.35331	0.37124	0.40783	0.33856	0.40226	0.39429	0.38402	0.33131	0.36092	0.36999	0.36013
 	Piedmontese	0.36435	0.39947	0.36665	0.35921	0.30179	0.37506	0.37108	0.32060	0.31071	0.30237	0.30058	0.38946	0.37980	0.31953	0.34935	0.34670	0.33502	0.32258	0.32018	0.37663	0.32457	0.31270	0.37360	0.40725	0.34129	0.37925	0.33070	0.00000	0.35089	0.32672	0.41696	0.31244	0.37085	0.33905	0.34335	0.34415	0.37018	0.31809	0.30296	0.39004	0.29898
 	Portuguese	0.32421	0.42479	0.31627	0.39698	0.36880	0.27237	0.38931	0.36228	0.35757	0.37320	0.36440	0.40741	0.40955	0.39288	0.26981	0.37398	0.36663	0.35134	0.39532	0.38241	0.36148	0.36246	0.37791	0.44076	0.38936	0.38581	0.38788	0.35089	0.00000	0.37187	0.43484	0.37402	0.42050	0.38121	0.37910	0.35731	0.31640	0.34084	0.35355	0.41953	0.37652
 	Provençal	0.34858	0.43067	0.37066	0.27250	0.35188	0.37895	0.40730	0.31976	0.36728	0.36606	0.35156	0.36817	0.37512	0.35507	0.36407	0.37333	0.31513	0.36408	0.34743	0.40563	0.28346	0.35678	0.39976	0.42368	0.38496	0.41167	0.33378	0.32672	0.37187	0.00000	0.39196	0.35481	0.39519	0.36651	0.38231	0.38228	0.37324	0.32572	0.35606	0.38923	0.35320
 	Québécois French	0.44430	0.50497	0.45814	0.39509	0.43580	0.43546	0.47522	0.41287	0.47007	0.43479	0.44524	0.31597	0.21104	0.44720	0.46501	0.46971	0.42766	0.45989	0.43343	0.49945	0.39640	0.45472	0.48217	0.49556	0.46704	0.48529	0.35331	0.41696	0.43484	0.39196	0.00000	0.40985	0.47023	0.42616	0.46160	0.46374	0.45493	0.38839	0.42142	0.34552	0.41293
 	Romagnol	0.36761	0.41427	0.38004	0.38537	0.31685	0.38983	0.38869	0.33820	0.32306	0.30667	0.29114	0.40610	0.40575	0.34213	0.35391	0.34608	0.36679	0.32370	0.34005	0.37842	0.34240	0.34401	0.40573	0.41156	0.35806	0.38757	0.37124	0.31244	0.37402	0.35481	0.40985	0.00000	0.37724	0.34944	0.34611	0.36543	0.37515	0.33446	0.32416	0.41326	0.30678
 	Romanian	0.39501	0.29780	0.39270	0.41917	0.37439	0.43319	0.39215	0.37537	0.36975	0.38642	0.36799	0.46876	0.45969	0.37738	0.38995	0.37944	0.40604	0.35279	0.38431	0.34495	0.38539	0.39873	0.38765	0.28820	0.39536	0.36685	0.40783	0.37085	0.42050	0.39519	0.47023	0.37724	0.00000	0.39657	0.40358	0.40198	0.40839	0.37263	0.36838	0.44467	0.39130
 	Romansch	0.37375	0.42882	0.37408	0.37668	0.34328	0.40614	0.41237	0.34070	0.36863	0.35107	0.35003	0.43525	0.41395	0.34531	0.35518	0.39582	0.35771	0.36050	0.31723	0.37471	0.33838	0.36527	0.39305	0.43699	0.39740	0.39407	0.33856	0.33905	0.38121	0.36651	0.42616	0.34944	0.39657	0.00000	0.41061	0.37688	0.38170	0.33462	0.34250	0.44351	0.35529
 	Sassarese	0.37158	0.42471	0.36359	0.42075	0.35507	0.39196	0.33756	0.35940	0.30322	0.35032	0.34861	0.42857	0.44549	0.36111	0.35512	0.27478	0.37418	0.31264	0.37261	0.36850	0.35740	0.34150	0.33823	0.42272	0.32891	0.34595	0.40226	0.34335	0.37910	0.38231	0.46160	0.34611	0.40358	0.41061	0.00000	0.33727	0.36516	0.37245	0.33818	0.44778	0.37043
 	Sicilian	0.37754	0.40784	0.36395	0.40555	0.33762	0.37434	0.36375	0.37824	0.30678	0.35147	0.33826	0.43153	0.44231	0.37994	0.34225	0.32730	0.38024	0.30767	0.37507	0.35385	0.36946	0.34722	0.35194	0.42969	0.28835	0.34365	0.39429	0.34415	0.35731	0.38228	0.46374	0.36543	0.40198	0.37688	0.33727	0.00000	0.35894	0.38724	0.33721	0.47166	0.37992
 	Spanish	0.29366	0.43280	0.26781	0.39984	0.36155	0.34166	0.37748	0.34816	0.35035	0.38195	0.35773	0.42998	0.45254	0.36820	0.29275	0.35765	0.37187	0.35091	0.37748	0.36359	0.35260	0.36933	0.36698	0.43091	0.35881	0.36418	0.38402	0.37018	0.31640	0.37324	0.45493	0.37515	0.40839	0.38170	0.36516	0.35894	0.00000	0.35012	0.35367	0.45382	0.38768
 	Valencian	0.32432	0.40906	0.33691	0.34191	0.34517	0.37154	0.37612	0.29907	0.35085	0.33849	0.34042	0.38654	0.36925	0.34369	0.32774	0.36130	0.30134	0.34713	0.33694	0.37084	0.28067	0.36527	0.36681	0.39420	0.37599	0.37826	0.33131	0.31809	0.34084	0.32572	0.38839	0.33446	0.37263	0.33462	0.37245	0.38724	0.35012	0.00000	0.33825	0.39622	0.34082
 	Venetian	0.35841	0.39232	0.35595	0.39782	0.27952	0.38100	0.35300	0.35204	0.31005	0.31189	0.29360	0.39912	0.40671	0.33734	0.33237	0.33150	0.36453	0.30137	0.32866	0.35034	0.35743	0.30644	0.36763	0.41412	0.33629	0.36212	0.36092	0.30296	0.35355	0.35606	0.42142	0.32416	0.36838	0.34250	0.33818	0.33721	0.35367	0.33825	0.00000	0.42123	0.33300
 	Walloon	0.42275	0.49828	0.44097	0.39811	0.42996	0.43880	0.46834	0.39208	0.44144	0.42682	0.42535	0.36398	0.31042	0.41871	0.44781	0.45489	0.43157	0.44403	0.41421	0.49314	0.39271	0.43352	0.45871	0.53081	0.46754	0.46100	0.36999	0.39004	0.41953	0.38923	0.34552	0.41326	0.44467	0.44351	0.44778	0.47166	0.45382	0.39622	0.42123	0.00000	0.40945
 	Western Lombard	0.39261	0.44072	0.39071	0.36971	0.33354	0.39534	0.41599	0.33540	0.33578	0.28798	0.31001	0.40709	0.39650	0.34611	0.36876	0.36717	0.37251	0.34485	0.34027	0.39508	0.33872	0.33341	0.41459	0.44940	0.36582	0.41030	0.36013	0.29898	0.37652	0.35320	0.41293	0.30678	0.39130	0.35529	0.37043	0.37992	0.38768	0.34082	0.33300	0.40945	0.00000
