 	Labels	Afrikaans	Alsatian	American English	Bavarian	Bokmål Norwegian	Danish	Dutch	East Franconian	East Frisian Low Saxon	Eastphalian	Elfdalian	English	Faroese	Gothic	Hessian	Icelandic	Insular North Frisian	Limburgish	Luxembourgish	Mainland North Frisian	Mecklenburgisch-Vorpommersch	Middle English	Middle High German	Northern Low Saxon	Nynorsk Norwegian	Old English	Old Frisian	Old High German	Old West Norse	Palatine German	Pennsylvania German	Proto-Germanic	Ripuarian	Saterland Frisian	Scots	Standard German	Swabian	Swedish	Swiss German	West Flemish	West Frisian	Westphalian	Wymysorys	Yiddish	Zeelandic
 	Standard German	0.12756	0.07051	0.17721	0.06982	0.20251	0.22136	0.11075	0.05236	0.10886	0.09022	0.21416	0.15583	0.19966	0.19095	0.06782	0.19094	0.14890	0.11961	0.07824	0.16394	0.09252	0.17842	0.06324	0.09948	0.19695	0.22055	0.14256	0.08466	0.23178	0.05412	0.06038	0.17730	0.10121	0.13011	0.15429	0.00000	0.06036	0.17716	0.08656	0.15364	0.17734	0.09737	0.09807	0.05872	0.14803
 	Swabian	0.15196	0.06587	0.16731	0.07083	0.20543	0.22162	0.12583	0.07794	0.14692	0.15253	0.21056	0.16752	0.22334	0.21308	0.08447	0.20448	0.16542	0.15062	0.10332	0.17959	0.14092	0.20178	0.08510	0.14311	0.20012	0.21503	0.12955	0.09343	0.23206	0.06609	0.05269	0.18750	0.10339	0.16030	0.16005	0.06036	0.00000	0.20416	0.07407	0.18545	0.19690	0.14299	0.10673	0.07193	0.16388
 	Swedish	0.15234	0.17590	0.18319	0.18199	0.07426	0.12951	0.14811	0.19076	0.17465	0.16386	0.10676	0.18307	0.11591	0.22895	0.17111	0.11763	0.14602	0.16559	0.18195	0.17040	0.16632	0.21670	0.17033	0.17469	0.06900	0.21504	0.13169	0.15881	0.13743	0.16555	0.19008	0.18671	0.16725	0.13835	0.15226	0.17716	0.20416	0.00000	0.17333	0.20797	0.17525	0.17016	0.18009	0.18745	0.17635
 	Swiss German	0.14060	0.07340	0.16811	0.07881	0.19514	0.23969	0.11331	0.09328	0.15813	0.13641	0.18689	0.17181	0.20228	0.19577	0.09632	0.18405	0.16457	0.13434	0.12308	0.18218	0.13285	0.19288	0.06214	0.14095	0.17873	0.17909	0.11414	0.07482	0.21112	0.08726	0.08132	0.16662	0.10748	0.13586	0.15085	0.08656	0.07407	0.17333	0.00000	0.18170	0.17375	0.14982	0.11072	0.08581	0.13223
 	West Flemish	0.10011	0.17367	0.18217	0.17036	0.21003	0.25070	0.06518	0.17531	0.11973	0.10905	0.18168	0.19113	0.22740	0.20779	0.18754	0.21860	0.18177	0.12636	0.15524	0.19150	0.12290	0.20483	0.12802	0.12758	0.21226	0.18671	0.12493	0.14515	0.23663	0.16823	0.16447	0.17405	0.14980	0.14122	0.16617	0.15364	0.18545	0.20797	0.18170	0.00000	0.16889	0.13454	0.19873	0.17309	0.06899
 	West Frisian	0.12919	0.17552	0.17908	0.18617	0.17184	0.21342	0.13250	0.19554	0.14584	0.14426	0.20067	0.17501	0.19512	0.20392	0.18207	0.18176	0.12666	0.15568	0.18214	0.13091	0.16086	0.21397	0.15841	0.16193	0.17051	0.22245	0.09846	0.16298	0.19900	0.16445	0.16132	0.18592	0.17204	0.08517	0.14966	0.17734	0.19690	0.17525	0.17375	0.16889	0.00000	0.14566	0.18691	0.17629	0.15501
 	Westphalian	0.10579	0.15034	0.15718	0.12738	0.16881	0.21304	0.09365	0.12316	0.06838	0.05125	0.20469	0.15598	0.19283	0.20126	0.12594	0.18348	0.13736	0.11306	0.11238	0.15369	0.05439	0.18263	0.13184	0.06170	0.18153	0.18174	0.11856	0.14205	0.21586	0.12483	0.12712	0.16623	0.11693	0.11403	0.14017	0.09737	0.14299	0.17016	0.14982	0.13454	0.14566	0.00000	0.13999	0.11833	0.13667
 	Wymysorys	0.13695	0.10580	0.18240	0.10806	0.20651	0.25866	0.11995	0.10927	0.15444	0.13870	0.20898	0.17715	0.20780	0.21815	0.10259	0.20487	0.17734	0.12186	0.10687	0.17243	0.13223	0.21240	0.09792	0.13499	0.20939	0.18916	0.14228	0.10731	0.22698	0.09228	0.09481	0.17735	0.10854	0.14721	0.15780	0.09807	0.10673	0.18009	0.11072	0.19873	0.18691	0.13999	0.00000	0.06755	0.16615
 	Yiddish	0.11634	0.08883	0.16345	0.07430	0.19192	0.24870	0.10749	0.06797	0.12656	0.11025	0.21886	0.15800	0.20185	0.19320	0.07300	0.18901	0.15738	0.11036	0.08739	0.16330	0.09860	0.15170	0.07154	0.10768	0.22304	0.18104	0.12687	0.08322	0.23609	0.06990	0.07441	0.17136	0.10625	0.13611	0.14865	0.05872	0.07193	0.18745	0.08581	0.17309	0.17629	0.11833	0.06755	0.00000	0.15426
 	Zeelandic	0.07635	0.15666	0.17557	0.16928	0.19740	0.23614	0.04734	0.17103	0.12874	0.11665	0.16637	0.17018	0.20408	0.19889	0.16652	0.19954	0.16279	0.11150	0.15717	0.16685	0.13274	0.18467	0.11025	0.13649	0.18431	0.18846	0.10783	0.13025	0.21510	0.14625	0.14238	0.15780	0.14125	0.12329	0.15219	0.14803	0.16388	0.17635	0.13223	0.06899	0.15501	0.13667	0.16615	0.15426	0.00000
