l1	phone_l1	l2	phone_l2	surprisal
Cahuilla	('l',)	Chemehuevi	-	2.741
Cahuilla	('m',)	Chemehuevi	-	2.735
Cahuilla	('m',)	Chemehuevi	m	3.667
Cahuilla	('n',)	Chemehuevi	-	1.801
Cahuilla	('n',)	Chemehuevi	n	2.659
Cahuilla	('p',)	Chemehuevi	p	1.959
Cahuilla	('p',)	Chemehuevi	ɨ	4.416
Cahuilla	('q',)	Chemehuevi	ŋ	2.917
Cahuilla	('s',)	Chemehuevi	-	2.456
Cahuilla	('s',)	Chemehuevi	s	2.953
Cahuilla	('t',)	Chemehuevi	t	1.762
Cahuilla	('t',)	Chemehuevi	-	2.538
Cahuilla	('u',)	Chemehuevi	u	1.559
Cahuilla	('u',)	Chemehuevi	-	3.953
Cahuilla	('ui̯̯',)	Chemehuevi	aɨ̯	4.225
Cahuilla	('ui̯̯',)	Chemehuevi	nː	4.483
Cahuilla	('u̠',)	Chemehuevi	nː	4.361
Cahuilla	('u̠',)	Chemehuevi	ɨː	4.361
Cahuilla	('v',)	Chemehuevi	s	2.745
Cahuilla	('v',)	Chemehuevi	m	3.495
Cahuilla	('w',)	Chemehuevi	w	1.882
Cahuilla	('w',)	Chemehuevi	-	2.483
Cahuilla	('x',)	Chemehuevi	-	2.195
Cahuilla	('x',)	Chemehuevi	nː	4.074
Cahuilla	('y',)	Chemehuevi	i	1.492
Cahuilla	('y',)	Chemehuevi	-	4.495
Cahuilla	('ŋ',)	Chemehuevi	k	2.877
Cahuilla	('ŋ',)	Chemehuevi	-	3.824
Cahuilla	('ɑ',)	Chemehuevi	ɯ	2.371
Cahuilla	('ɑ',)	Chemehuevi	ɑ	3.346
Cahuilla	('ɑ̠',)	Chemehuevi	i	3.272
Cahuilla	('ɑ̠',)	Chemehuevi	nː	5.34
Cahuilla	('ɲ',)	Chemehuevi	m	3.544
Cahuilla	('ɲ',)	Chemehuevi	nː	5.095
Cahuilla	('ʃ',)	Chemehuevi	-	1.741
Cahuilla	('ʃ',)	Chemehuevi	p	3.19
Cahuilla	('ʔ',)	Chemehuevi	p	2.991
Cahuilla	('ʔ',)	Chemehuevi	-	3.105
Cahuilla	('ʦ',)	Chemehuevi	m	2.366
Cahuilla	('ʦ',)	Chemehuevi	nː	3.34
Cahuilla	('ʧ',)	Chemehuevi	ʔ	2.301
Cahuilla	('ʧ',)	Chemehuevi	tː	4.221
Cahuilla	('-',)	Classical Nahuatl	eː	4.354
Cahuilla	('-',)	Classical Nahuatl	ei̯̯	4.354
Cahuilla	('a',)	Classical Nahuatl	a	1.951
Cahuilla	('a',)	Classical Nahuatl	-	2.229
Cahuilla	('ae̯',)	Classical Nahuatl	eː	4.354
Cahuilla	('ae̯',)	Classical Nahuatl	ei̯̯	4.354
Cahuilla	('e',)	Classical Nahuatl	i	2.066
Cahuilla	('e',)	Classical Nahuatl	-	2.48
Cahuilla	('eu̯̯',)	Classical Nahuatl	e	3.363
Cahuilla	('eu̯̯',)	Classical Nahuatl	eː	5.173
Cahuilla	('e̠',)	Classical Nahuatl	eː	4.354
Cahuilla	('e̠',)	Classical Nahuatl	ei̯̯	4.354
Cahuilla	('h',)	Classical Nahuatl	t͡ɬ	2.171
Cahuilla	('h',)	Classical Nahuatl	-	4.242
Cahuilla	('i',)	Classical Nahuatl	i	1.785
Cahuilla	('i',)	Classical Nahuatl	-	2.397
Cahuilla	('i̠',)	Classical Nahuatl	ei̯̯	2.091
Cahuilla	('j',)	Classical Nahuatl	-	2.99
Cahuilla	('j',)	Classical Nahuatl	ʦ	3.536
Cahuilla	('k',)	Classical Nahuatl	k	1.806
Cahuilla	('k',)	Classical Nahuatl	-	3.637
Cahuilla	('kʷ',)	Classical Nahuatl	kʷ	2.301
Cahuilla	('kʷ',)	Classical Nahuatl	-	4.256
Cahuilla	('l',)	Classical Nahuatl	t͡ɬ	0.932
Cahuilla	('l',)	Classical Nahuatl	-	2.633
Cahuilla	('m',)	Classical Nahuatl	m	1.392
Cahuilla	('m',)	Classical Nahuatl	-	3.341
Cahuilla	('n',)	Classical Nahuatl	-	1.813
Cahuilla	('n',)	Classical Nahuatl	ʧ	3.546
Cahuilla	('p',)	Classical Nahuatl	-	1.724
Cahuilla	('p',)	Classical Nahuatl	j	4.567
Cahuilla	('q',)	Classical Nahuatl	k	3.296
Cahuilla	('q',)	Classical Nahuatl	t	4.676
Cahuilla	('s',)	Classical Nahuatl	s	2.872
Cahuilla	('s',)	Classical Nahuatl	-	2.902
Cahuilla	('t',)	Classical Nahuatl	t͡ɬ	2.081
Cahuilla	('t',)	Classical Nahuatl	-	2.267
Cahuilla	('u',)	Classical Nahuatl	i	2.606
Cahuilla	('u',)	Classical Nahuatl	o	2.762
Cahuilla	('ui̯̯',)	Classical Nahuatl	eː	4.354
Cahuilla	('ui̯̯',)	Classical Nahuatl	ei̯̯	4.354
Cahuilla	('u̠',)	Classical Nahuatl	-	2.572
Cahuilla	('v',)	Classical Nahuatl	s	3.796
Cahuilla	('v',)	Classical Nahuatl	i	4.142
Cahuilla	('w',)	Classical Nahuatl	-	2.413
Cahuilla	('w',)	Classical Nahuatl	w	3.842
Cahuilla	('x',)	Classical Nahuatl	k	2.251
Cahuilla	('x',)	Classical Nahuatl	-	3.166
Cahuilla	('y',)	Classical Nahuatl	-	1.829
Cahuilla	('y',)	Classical Nahuatl	i	2.35
Cahuilla	('ŋ',)	Classical Nahuatl	-	3.448
Cahuilla	('ŋ',)	Classical Nahuatl	ʃ	4.285
Cahuilla	('ɑ',)	Classical Nahuatl	n	2.182
Cahuilla	('ɑ',)	Classical Nahuatl	-	3.994
Cahuilla	('ɑ̠',)	Classical Nahuatl	aː	3.788
Cahuilla	('ɑ̠',)	Classical Nahuatl	eː	4.822
Cahuilla	('ɲ',)	Classical Nahuatl	s	3.222
Cahuilla	('ɲ',)	Classical Nahuatl	eː	5.29
Cahuilla	('ʃ',)	Classical Nahuatl	-	3.075
Cahuilla	('ʃ',)	Classical Nahuatl	t͡ɬ	3.142
Cahuilla	('ʔ',)	Classical Nahuatl	-	2.145
Cahuilla	('ʔ',)	Classical Nahuatl	m	3.848
Cahuilla	('ʦ',)	Classical Nahuatl	-	2.091
Cahuilla	('ʧ',)	Classical Nahuatl	w	3.008
Cahuilla	('ʧ',)	Classical Nahuatl	ʧ	3.265
Cahuilla	('-',)	Comanche	ui̯̯	4.557
Cahuilla	('-',)	Comanche	nː	4.557
Cahuilla	('a',)	Comanche	-	1.872
Cahuilla	('a',)	Comanche	a	2.199
Cahuilla	('ae̯',)	Comanche	ui̯̯	4.557
Cahuilla	('ae̯',)	Comanche	nː	4.557
Cahuilla	('e',)	Comanche	-	2.093
Cahuilla	('e',)	Comanche	ɨ	2.476
Cahuilla	('eu̯̯',)	Comanche	ui̯̯	4.557
Cahuilla	('eu̯̯',)	Comanche	nː	4.557
Cahuilla	('e̠',)	Comanche	ui̯̯	4.557
Cahuilla	('e̠',)	Comanche	nː	4.557
Cahuilla	('h',)	Comanche	h	1.467
Cahuilla	('i',)	Comanche	e	2.569
Cahuilla	('i',)	Comanche	a	2.681
Cahuilla	('i̠',)	Comanche	iː	2.758
Cahuilla	('i̠',)	Comanche	i	3.645
Cahuilla	('j',)	Comanche	ai̯̯	3.823
Cahuilla	('j',)	Comanche	-	3.882
Cahuilla	('k',)	Comanche	-	2.603
Cahuilla	('k',)	Comanche	k	3.205
Cahuilla	('kʷ',)	Comanche	-	2.721
Cahuilla	('kʷ',)	Comanche	h	3.591
Cahuilla	('l',)	Comanche	-	0.867
Cahuilla	('l',)	Comanche	ʦː	5.029
Cahuilla	('m',)	Comanche	m	2.261
Cahuilla	('m',)	Comanche	-	2.456
Cahuilla	('n',)	Comanche	-	1.333
Cahuilla	('n',)	Comanche	n	2.991
Cahuilla	('p',)	Comanche	p	1.961
Cahuilla	('p',)	Comanche	mː	3.671
Cahuilla	('q',)	Comanche	k	2.601
Cahuilla	('q',)	Comanche	t	4.419
Cahuilla	('s',)	Comanche	-	2.898
Cahuilla	('s',)	Comanche	t	3.485
Cahuilla	('t',)	Comanche	t	1.951
Cahuilla	('t',)	Comanche	-	1.973
Cahuilla	('u',)	Comanche	o	3.023
Cahuilla	('u',)	Comanche	e	3.586
Cahuilla	('ui̯̯',)	Comanche	ui̯̯	4.557
Cahuilla	('ui̯̯',)	Comanche	nː	4.557
Cahuilla	('u̠',)	Comanche	o	3.605
Cahuilla	('u̠',)	Comanche	ui̯̯	5.156
Cahuilla	('v',)	Comanche	p	2.396
Cahuilla	('v',)	Comanche	t	3.166
Cahuilla	('w',)	Comanche	-	1.964
Cahuilla	('w',)	Comanche	w	3.885
Cahuilla	('x',)	Comanche	-	1.9
Cahuilla	('x',)	Comanche	n	3.436
Cahuilla	('y',)	Comanche	-	1.889
Cahuilla	('y',)	Comanche	ɨ	4.265
Cahuilla	('ŋ',)	Comanche	k	2.482
Cahuilla	('ŋ',)	Comanche	-	3.269
Cahuilla	('ɑ',)	Comanche	i	1.617
Cahuilla	('ɑ',)	Comanche	-	4.985
Cahuilla	('ɑ̠',)	Comanche	ui̯̯	4.557
Cahuilla	('ɑ̠',)	Comanche	nː	4.557
Cahuilla	('ɲ',)	Comanche	w	3.922
Cahuilla	('ɲ',)	Comanche	ui̯̯	4.956
Cahuilla	('ʃ',)	Comanche	-	1.278
Cahuilla	('ʃ',)	Comanche	ʔ	4.947
Cahuilla	('ʔ',)	Comanche	-	1.437
Cahuilla	('ʔ',)	Comanche	s	3.951
Cahuilla	('ʦ',)	Comanche	n	2.114
Cahuilla	('ʦ',)	Comanche	-	3.82
Cahuilla	('ʧ',)	Comanche	ʔ	3.431
Cahuilla	('ʧ',)	Comanche	h	3.694
Cahuilla	('-',)	Cupeño	ə̠	4.382
Cahuilla	('-',)	Cupeño	ɑ̠	4.382
Cahuilla	('a',)	Cupeño	a	0.797
Cahuilla	('a',)	Cupeño	-	1.986
Cahuilla	('ae̯',)	Cupeño	a	3.939
Cahuilla	('ae̯',)	Cupeño	ə̠	4.715
Cahuilla	('e',)	Cupeño	ɨ	1.671
Cahuilla	('e',)	Cupeño	-	2.276
Cahuilla	('eu̯̯',)	Cupeño	-	3.349
Cahuilla	('eu̯̯',)	Cupeño	ə̠	5.159
Cahuilla	('e̠',)	Cupeño	ə	3.202
Cahuilla	('e̠',)	Cupeño	ə̠	5.27
Cahuilla	('h',)	Cupeño	h	1.73
Cahuilla	('i',)	Cupeño	i	1.133
Cahuilla	('i',)	Cupeño	-	2.589
Cahuilla	('i̠',)	Cupeño	i	2.76
Cahuilla	('j',)	Cupeño	j	1.871
Cahuilla	('j',)	Cupeño	-	3.554
Cahuilla	('k',)	Cupeño	k	1.729
Cahuilla	('k',)	Cupeño	-	2.512
Cahuilla	('kʷ',)	Cupeño	-	2.768
Cahuilla	('kʷ',)	Cupeño	kʷ	3.201
Cahuilla	('l',)	Cupeño	-	1.239
Cahuilla	('l',)	Cupeño	l	1.621
Cahuilla	('m',)	Cupeño	m	0.902
Cahuilla	('m',)	Cupeño	-	2.792
Cahuilla	('n',)	Cupeño	n	1.363
Cahuilla	('n',)	Cupeño	-	1.821
Cahuilla	('p',)	Cupeño	p	0.97
Cahuilla	('p',)	Cupeño	-	4.668
Cahuilla	('q',)	Cupeño	q	2.794
Cahuilla	('q',)	Cupeño	k	4.09
Cahuilla	('s',)	Cupeño	s	2.987
Cahuilla	('s',)	Cupeño	ʂ	3.061
Cahuilla	('t',)	Cupeño	t	0.827
Cahuilla	('t',)	Cupeño	-	3.283
Cahuilla	('u',)	Cupeño	u	0.881
Cahuilla	('u',)	Cupeño	-	2.876
Cahuilla	('ui̯̯',)	Cupeño	ui̯̯	3.057
Cahuilla	('u̠',)	Cupeño	ə̠	4.382
Cahuilla	('u̠',)	Cupeño	ɑ̠	4.382
Cahuilla	('v',)	Cupeño	-	3.597
Cahuilla	('v',)	Cupeño	x	3.772
Cahuilla	('w',)	Cupeño	w	0.793
Cahuilla	('w',)	Cupeño	a	4.89
Cahuilla	('x',)	Cupeño	x	2.059
Cahuilla	('x',)	Cupeño	-	2.309
Cahuilla	('y',)	Cupeño	-	1.993
Cahuilla	('y',)	Cupeño	y	2.886
Cahuilla	('ŋ',)	Cupeño	-	1.928
Cahuilla	('ŋ',)	Cupeño	ŋ	4.05
Cahuilla	('ɑ',)	Cupeño	-	2.369
Cahuilla	('ɑ̠',)	Cupeño	ɑ	3.644
Cahuilla	('ɑ̠',)	Cupeño	ə̠	4.937
Cahuilla	('ɲ',)	Cupeño	ə̠	4.382
Cahuilla	('ɲ',)	Cupeño	ɑ̠	4.382
Cahuilla	('ʃ',)	Cupeño	ʃ	1.886
Cahuilla	('ʃ',)	Cupeño	-	3.576
Cahuilla	('ʔ',)	Cupeño	ʔ	1.811
Cahuilla	('ʔ',)	Cupeño	-	2.577
Cahuilla	('ʦ',)	Cupeño	ʦ	2.6
Cahuilla	('ʦ',)	Cupeño	ʃ	3.183
Cahuilla	('ʧ',)	Cupeño	ʃ	3.186
Cahuilla	('ʧ',)	Cupeño	ʧ	3.532
Cahuilla	('-',)	El Nayar Cora	eː	4.486
Cahuilla	('-',)	El Nayar Cora	u̠	4.486
Cahuilla	('a',)	El Nayar Cora	-	1.614
Cahuilla	('a',)	El Nayar Cora	a	1.74
Cahuilla	('ae̯',)	El Nayar Cora	eː	4.486
Cahuilla	('ae̯',)	El Nayar Cora	u̠	4.486
Cahuilla	('e',)	El Nayar Cora	-	2.185
Cahuilla	('e',)	El Nayar Cora	i	3.237
Cahuilla	('eu̯̯',)	El Nayar Cora	eː	4.486
Cahuilla	('eu̯̯',)	El Nayar Cora	u̠	4.486
Cahuilla	('e̠',)	El Nayar Cora	eː	4.486
Cahuilla	('e̠',)	El Nayar Cora	u̠	4.486
Cahuilla	('h',)	El Nayar Cora	k	2.781
Cahuilla	('h',)	El Nayar Cora	t	4.457
Cahuilla	('i',)	El Nayar Cora	a	1.254
Cahuilla	('i',)	El Nayar Cora	-	3.676
Cahuilla	('i̠',)	El Nayar Cora	i	3.698
Cahuilla	('i̠',)	El Nayar Cora	eː	5.132
Cahuilla	('j',)	El Nayar Cora	m	4.013
Cahuilla	('j',)	El Nayar Cora	e	4.272
Cahuilla	('k',)	El Nayar Cora	-	2.69
Cahuilla	('k',)	El Nayar Cora	ʔ	3.057
Cahuilla	('kʷ',)	El Nayar Cora	-	3.292
Cahuilla	('kʷ',)	El Nayar Cora	kʷ	3.376
Cahuilla	('l',)	El Nayar Cora	-	1.482
Cahuilla	('l',)	El Nayar Cora	r	3.576
Cahuilla	('m',)	El Nayar Cora	-	2.367
Cahuilla	('m',)	El Nayar Cora	m	2.951
Cahuilla	('n',)	El Nayar Cora	-	1.432
Cahuilla	('n',)	El Nayar Cora	n	2.275
Cahuilla	('p',)	El Nayar Cora	h	1.646
Cahuilla	('p',)	El Nayar Cora	-	4.568
Cahuilla	('q',)	El Nayar Cora	ʃ	3.453
Cahuilla	('q',)	El Nayar Cora	h	4.487
Cahuilla	('s',)	El Nayar Cora	-	2.617
Cahuilla	('s',)	El Nayar Cora	s	3.219
Cahuilla	('t',)	El Nayar Cora	-	2.667
Cahuilla	('t',)	El Nayar Cora	t	2.938
Cahuilla	('u',)	El Nayar Cora	u	2.266
Cahuilla	('u',)	El Nayar Cora	ɨ	2.783
Cahuilla	('ui̯̯',)	El Nayar Cora	eː	4.486
Cahuilla	('ui̯̯',)	El Nayar Cora	u̠	4.486
Cahuilla	('u̠',)	El Nayar Cora	eː	4.486
Cahuilla	('u̠',)	El Nayar Cora	u̠	4.486
Cahuilla	('v',)	El Nayar Cora	-	4.132
Cahuilla	('v',)	El Nayar Cora	ʔ	4.395
Cahuilla	('w',)	El Nayar Cora	-	2.324
Cahuilla	('w',)	El Nayar Cora	w	4.505
Cahuilla	('x',)	El Nayar Cora	-	1.974
Cahuilla	('x',)	El Nayar Cora	n	4.823
Cahuilla	('y',)	El Nayar Cora	-	2.48
Cahuilla	('y',)	El Nayar Cora	i	2.502
Cahuilla	('ŋ',)	El Nayar Cora	-	2.17
Cahuilla	('ŋ',)	El Nayar Cora	n	3.865
Cahuilla	('ɑ',)	El Nayar Cora	e̠	3.761
Cahuilla	('ɑ',)	El Nayar Cora	ɑ	3.902
Cahuilla	('ɑ̠',)	El Nayar Cora	eː	4.486
Cahuilla	('ɑ̠',)	El Nayar Cora	u̠	4.486
Cahuilla	('ɲ',)	El Nayar Cora	ɨi̯̯	3.546
Cahuilla	('ɲ',)	El Nayar Cora	eː	5.355
Cahuilla	('ʃ',)	El Nayar Cora	-	1.619
Cahuilla	('ʃ',)	El Nayar Cora	r	4.21
Cahuilla	('ʔ',)	El Nayar Cora	k	2.303
Cahuilla	('ʔ',)	El Nayar Cora	ʔ	3.259
Cahuilla	('ʦ',)	El Nayar Cora	t	3.698
Cahuilla	('ʦ',)	El Nayar Cora	eː	5.132
Cahuilla	('ʧ',)	El Nayar Cora	ʔ	2.853
Cahuilla	('ʧ',)	El Nayar Cora	-	4.198
Cahuilla	('-',)	Eudeve	eː	4.344
Cahuilla	('-',)	Eudeve	ei̯̯	4.344
Cahuilla	('a',)	Eudeve	a	1.295
Cahuilla	('a',)	Eudeve	-	2.225
Cahuilla	('ae̯',)	Eudeve	eː	4.344
Cahuilla	('ae̯',)	Eudeve	ei̯̯	4.344
Cahuilla	('e',)	Eudeve	-	1.833
Cahuilla	('e',)	Eudeve	e	2.378
Cahuilla	('eu̯̯',)	Eudeve	r	3.142
Cahuilla	('e̠',)	Eudeve	eː	4.344
Cahuilla	('e̠',)	Eudeve	ei̯̯	4.344
Cahuilla	('h',)	Eudeve	h	2.123
Cahuilla	('i',)	Eudeve	a	2.248
Cahuilla	('i',)	Eudeve	-	2.415
Cahuilla	('i̠',)	Eudeve	a	2.149
Cahuilla	('j',)	Eudeve	-	2.611
Cahuilla	('j',)	Eudeve	u	3.77
Cahuilla	('k',)	Eudeve	-	1.786
Cahuilla	('k',)	Eudeve	ʦ	3.62
Cahuilla	('kʷ',)	Eudeve	-	2.965
Cahuilla	('kʷ',)	Eudeve	b	3.053
Cahuilla	('l',)	Eudeve	t	1.037
Cahuilla	('l',)	Eudeve	-	2.6
Cahuilla	('m',)	Eudeve	m	1.618
Cahuilla	('m',)	Eudeve	n	3.115
Cahuilla	('n',)	Eudeve	-	1.874
Cahuilla	('n',)	Eudeve	n	3.014
Cahuilla	('p',)	Eudeve	b	2.232
Cahuilla	('p',)	Eudeve	v	3.924
Cahuilla	('q',)	Eudeve	k	3.783
Cahuilla	('q',)	Eudeve	ʦ	4.558
Cahuilla	('s',)	Eudeve	s	1.584
Cahuilla	('s',)	Eudeve	-	4.076
Cahuilla	('t',)	Eudeve	t	2.016
Cahuilla	('t',)	Eudeve	-	2.17
Cahuilla	('u',)	Eudeve	u	2.912
Cahuilla	('u',)	Eudeve	-	2.927
Cahuilla	('ui̯̯',)	Eudeve	e	3.679
Cahuilla	('ui̯̯',)	Eudeve	eː	4.716
Cahuilla	('u̠',)	Eudeve	w	4.194
Cahuilla	('u̠',)	Eudeve	eː	4.452
Cahuilla	('v',)	Eudeve	-	1.874
Cahuilla	('w',)	Eudeve	s	3.365
Cahuilla	('w',)	Eudeve	ɡ	3.798
Cahuilla	('x',)	Eudeve	-	2.226
Cahuilla	('x',)	Eudeve	d	2.84
Cahuilla	('y',)	Eudeve	-	1.646
Cahuilla	('y',)	Eudeve	a	4.203
Cahuilla	('ŋ',)	Eudeve	r	2.775
Cahuilla	('ŋ',)	Eudeve	s	2.863
Cahuilla	('ɑ',)	Eudeve	-	1.84
Cahuilla	('ɑ̠',)	Eudeve	e	4.194
Cahuilla	('ɑ̠',)	Eudeve	eː	4.452
Cahuilla	('ɲ',)	Eudeve	h	4.194
Cahuilla	('ɲ',)	Eudeve	eː	4.452
Cahuilla	('ʃ',)	Eudeve	-	1.031
Cahuilla	('ʃ',)	Eudeve	t	4.29
Cahuilla	('ʔ',)	Eudeve	-	1.836
Cahuilla	('ʔ',)	Eudeve	b	3.428
Cahuilla	('ʦ',)	Eudeve	-	2.149
Cahuilla	('ʧ',)	Eudeve	-	3.323
Cahuilla	('ʧ',)	Eudeve	t	3.84
Cahuilla	('-',)	Highland Puebla Nahuatl	eː	4.289
Cahuilla	('-',)	Highland Puebla Nahuatl	nː	4.289
Cahuilla	('a',)	Highland Puebla Nahuatl	-	1.789
Cahuilla	('a',)	Highland Puebla Nahuatl	a	2.52
Cahuilla	('ae̯',)	Highland Puebla Nahuatl	i	4.126
Cahuilla	('ae̯',)	Highland Puebla Nahuatl	eː	4.385
Cahuilla	('e',)	Highland Puebla Nahuatl	i	1.706
Cahuilla	('e',)	Highland Puebla Nahuatl	-	2.08
Cahuilla	('eu̯̯',)	Highland Puebla Nahuatl	eː	4.289
Cahuilla	('eu̯̯',)	Highland Puebla Nahuatl	nː	4.289
Cahuilla	('h',)	Highland Puebla Nahuatl	-	1.855
Cahuilla	('h',)	Highland Puebla Nahuatl	j	3.607
Cahuilla	('i',)	Highland Puebla Nahuatl	-	2.182
Cahuilla	('i',)	Highland Puebla Nahuatl	i	2.424
Cahuilla	('i̠',)	Highland Puebla Nahuatl	-	2.04
Cahuilla	('j',)	Highland Puebla Nahuatl	-	3.491
Cahuilla	('j',)	Highland Puebla Nahuatl	ʧ	4.096
Cahuilla	('k',)	Highland Puebla Nahuatl	k	1.524
Cahuilla	('k',)	Highland Puebla Nahuatl	-	2.762
Cahuilla	('kʷ',)	Highland Puebla Nahuatl	kʷ	1.926
Cahuilla	('kʷ',)	Highland Puebla Nahuatl	-	3.564
Cahuilla	('l',)	Highland Puebla Nahuatl	t	1.864
Cahuilla	('l',)	Highland Puebla Nahuatl	-	1.997
Cahuilla	('m',)	Highland Puebla Nahuatl	m	2.121
Cahuilla	('m',)	Highland Puebla Nahuatl	n	3.367
Cahuilla	('n',)	Highland Puebla Nahuatl	t	1.472
Cahuilla	('n',)	Highland Puebla Nahuatl	-	1.705
Cahuilla	('p',)	Highland Puebla Nahuatl	-	1.747
Cahuilla	('p',)	Highland Puebla Nahuatl	n	3.024
Cahuilla	('q',)	Highland Puebla Nahuatl	t	3.153
Cahuilla	('q',)	Highland Puebla Nahuatl	k	4.1
Cahuilla	('s',)	Highland Puebla Nahuatl	s	1.785
Cahuilla	('s',)	Highland Puebla Nahuatl	j	4.092
Cahuilla	('t',)	Highland Puebla Nahuatl	t	1.246
Cahuilla	('t',)	Highland Puebla Nahuatl	-	3.128
